time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-03-16 04:00:00,1.041,1.02,1.023,1903059.01,1969099.9,1.033,direct,
2021-03-16 05:00:00,1.033,1.015,1.033,2365473.14,2413383.78,1.02,direct,
2021-03-16 06:00:00,1.054,1.01,1.02,4255917.36,4406833.1,1.042,direct,
2021-03-16 07:00:00,1.046,1.034,1.042,1536362.47,1599025.21,1.042,direct,
2021-03-16 08:00:00,1.051,1.04,1.042,1633643.27,1710565.68,1.05,direct,
2021-03-16 09:00:00,1.05,1.041,1.05,1573403.83,1644803.14,1.044,direct,
2021-03-16 10:00:00,1.048,1.035,1.044,2169791.65,2257145.18,1.036,direct,
2021-03-16 11:00:00,1.037,1.028,1.036,1645396.62,1699361.51,1.035,direct,
2021-03-16 12:00:00,1.036,1.03,1.035,2424305.47,2507089.16,1.035,direct,
2021-03-16 13:00:00,1.045,1.035,1.035,1651767.91,1718766.03,1.038,direct,
2021-03-16 14:00:00,1.053,1.038,1.038,2394975.19,2503754.72,1.052,direct,
2021-03-16 15:00:00,1.106,1.048,1.052,10764508.91,11644447.94,1.092,direct,
2021-03-16 16:00:00,1.095,1.064,1.092,5709614.41,6155190.59,1.082,direct,
2021-03-16 17:00:00,1.296,1.081,1.082,80107517.67,96671757.45,1.227,direct,
2021-03-16 18:00:00,1.246,1.165,1.227,36683566.31,44206823.8,1.242,direct,
2021-03-16 19:00:00,1.246,1.211,1.242,18604241.23,22828381.36,1.23,direct,
2021-03-16 20:00:00,1.251,1.193,1.23,15776493.03,19362325.18,1.2,direct,
2021-03-16 21:00:00,1.247,1.197,1.2,10282042.27,12576254.15,1.244,direct,
2021-03-16 22:00:00,1.244,1.214,1.244,8865600.82,10895893.42,1.219,direct,
2021-03-16 23:00:00,1.25,1.219,1.219,10150803.91,12580762.79,1.25,direct,
2021-03-17 00:00:00,1.251,1.204,1.25,12678020.91,15513946.62,1.221,direct,
2021-03-17 01:00:00,1.242,1.21,1.221,7011668.18,8606590.49,1.23,direct,
2021-03-17 02:00:00,1.233,1.216,1.23,6080626.83,7447365.88,1.229,direct,
2021-03-17 03:00:00,1.233,1.208,1.229,5330428.49,6517994.57,1.21,direct,
2021-03-17 04:00:00,1.224,1.209,1.21,3583720.08,4357320.9,1.216,direct,
2021-03-17 05:00:00,1.242,1.211,1.216,4494105.77,5500793.79,1.242,direct,
2021-03-17 06:00:00,1.295,1.234,1.242,11646185.98,14792959.13,1.29,direct,
2021-03-17 07:00:00,1.291,1.257,1.29,5449466.38,6929245.51,1.265,direct,
2021-03-17 08:00:00,1.285,1.264,1.265,3811658.26,4863494.73,1.282,direct,
2021-03-17 09:00:00,1.282,1.213,1.282,8418634.75,10448609.47,1.232,direct,
2021-03-17 10:00:00,1.254,1.226,1.232,3536292.69,4406221.3,1.249,direct,
2021-03-17 11:00:00,1.258,1.232,1.249,4869779.84,6054669.46,1.233,direct,
2021-03-17 12:00:00,1.248,1.221,1.233,4376549.28,5399705.62,1.241,direct,
2021-03-17 13:00:00,1.252,1.235,1.241,5092178.69,6328362.46,1.25,direct,
2021-03-17 14:00:00,1.251,1.235,1.25,4154024.32,5156780.84,1.24,direct,
2021-03-17 15:00:00,1.245,1.231,1.24,3744945.73,4639575.98,1.231,direct,
2021-03-17 16:00:00,1.244,1.23,1.231,4240273.35,5250037.68,1.237,direct,
2021-03-17 17:00:00,1.244,1.235,1.237,4278202.97,5299974.18,1.237,direct,
2021-03-17 18:00:00,1.26,1.237,1.237,8321075.95,10420959.44,1.251,direct,
2021-03-17 19:00:00,1.277,1.248,1.251,8414516.84,10636062.5,1.266,direct,
2021-03-17 20:00:00,1.338,1.265,1.266,17909237.65,23328005.4,1.334,direct,
2021-03-17 21:00:00,1.43,1.312,1.334,44547262.15,61004492.27,1.364,direct,
2021-03-17 22:00:00,1.397,1.343,1.364,14529772.46,19856303.53,1.396,direct,
2021-03-17 23:00:00,1.4,1.365,1.396,13485747.66,18598320.02,1.378,direct,
2021-03-18 00:00:00,1.393,1.365,1.378,8512491.47,11732867.66,1.369,direct,
2021-03-18 01:00:00,1.402,1.369,1.369,10108224.1,14020886.68,1.401,direct,
2021-03-18 02:00:00,1.429,1.391,1.401,14453330.24,20382149.55,1.396,direct,
2021-03-18 03:00:00,1.411,1.383,1.396,7347213.28,10266083.09,1.408,direct,
2021-03-18 04:00:00,1.408,1.39,1.408,5554844.34,7772519.15,1.405,direct,
2021-03-18 05:00:00,1.44,1.403,1.405,10065492.92,14301873.34,1.436,direct,
2021-03-18 06:00:00,1.439,1.403,1.436,5888490.33,8349974.24,1.42,direct,
2021-03-18 07:00:00,1.421,1.388,1.42,6422667.41,8999730.97,1.404,direct,
2021-03-18 08:00:00,1.421,1.404,1.404,3867918.04,5467975.5,1.417,direct,
2021-03-18 09:00:00,1.452,1.415,1.417,7314571.8,10523734.45,1.447,direct,
2021-03-18 10:00:00,1.466,1.429,1.447,7041875.66,10186225.11,1.46,direct,
2021-03-18 11:00:00,1.473,1.41,1.46,9696525.88,13974206.16,1.428,direct,
