time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2016-01-09,0.0,0.0,0.0,0.0,0.0,0.0,direct,
2016-07-24,6.315,0.1263,7.2,2272097.01,2066154.14,0.9094,multiply,ETH
2016-07-25,1.026,0.454,0.9094,1051419.77,662536.61,0.6301,multiply,ETH
2016-07-26,3.624,0.5078,0.6301,5270908.34,13434912.85,2.549,multiply,ETH
2016-07-27,2.3,1.0,2.2,361910.2,558826.04,1.6,direct,
2016-07-28,2.11,1.36,1.6,890279.17,1528481.27,1.677,direct,
2016-07-29,1.792,1.52,1.677,696558.4,1155257.71,1.64,direct,
2016-07-30,1.702,1.55,1.64,290616.19,470031.49,1.565,direct,
2016-07-31,1.918,1.41,1.565,777390.43,1378623.86,1.79,direct,
2016-08-01,2.286,1.7,1.79,1407689.44,2934310.81,2.286,direct,
2016-08-02,3.64,2.065,2.286,3310047.8,9019736.5,2.603,direct,
2016-08-03,3.2,2.183,2.603,694253.24,1912119.18,2.557,direct,
2016-08-04,2.77,2.1,2.557,325465.41,797911.44,2.283,direct,
2016-08-05,2.648,2.281,2.283,206961.04,514279.69,2.56,direct,
2016-08-06,2.877,2.5,2.56,241591.94,642312.57,2.671,direct,
2016-08-07,2.759,2.065,2.671,356906.22,823950.08,2.1,direct,
2016-08-08,2.399,1.95,2.1,315596.54,676649.99,2.134,direct,
2016-08-09,2.3,1.72,2.134,362849.98,719868.89,1.926,direct,
2016-08-10,2.06,1.6,1.926,523806.54,930980.15,1.69,direct,
2016-08-11,1.964,1.561,1.69,509012.43,901193.34,1.856,direct,
2016-08-12,2.092,1.805,1.856,452748.14,888271.77,1.82,direct,
2016-08-13,1.92,1.813,1.82,149604.05,278063.91,1.86,direct,
2016-08-14,1.986,1.856,1.86,287587.12,554137.58,1.921,direct,
2016-08-15,2.0,1.85,1.921,316592.41,610450.08,1.86,direct,
2016-08-16,1.891,1.8,1.86,129737.8,239243.97,1.859,direct,
2016-08-17,1.88,1.714,1.859,250185.72,443080.2,1.74,direct,
2016-08-18,1.778,1.63,1.74,198680.22,339452.91,1.69,direct,
2016-08-19,1.8,1.61,1.69,321845.39,541135.52,1.75,direct,
2016-08-20,1.76,1.69,1.75,109835.72,189740.72,1.736,direct,
2016-08-21,1.766,1.697,1.736,54628.22,93912.02,1.714,direct,
2016-08-22,1.74,1.621,1.714,271283.0,458768.15,1.663,direct,
2016-08-23,1.682,1.565,1.663,380034.84,611300.1,1.605,direct,
2016-08-24,1.79,1.423,1.605,407435.34,617129.77,1.467,direct,
2016-08-25,1.467,1.259,1.467,958552.84,1317721.38,1.379,direct,
2016-08-26,1.464,1.316,1.379,599753.38,830697.01,1.433,direct,
2016-08-27,1.456,1.34,1.433,266984.7,379511.1,1.358,direct,
2016-08-28,1.358,1.299,1.358,442967.8,587760.9,1.356,direct,
2016-08-29,1.356,1.237,1.356,535718.24,687881.85,1.237,direct,
2016-08-30,1.313,1.147,1.237,1204173.3,1517729.56,1.244,direct,
2016-08-31,1.269,1.159,1.244,547993.65,673241.57,1.19,direct,
2016-09-01,1.486,1.174,1.19,1267113.83,1650502.19,1.478,direct,
2016-09-02,1.48,1.375,1.478,458773.08,654230.47,1.401,direct,
2016-09-03,1.412,1.319,1.401,148458.1,202185.12,1.359,direct,
2016-09-04,1.45,1.305,1.359,286354.05,403639.68,1.438,direct,
2016-09-05,1.549,1.435,1.438,206496.87,308183.67,1.458,direct,
2016-09-06,1.502,1.44,1.458,221335.59,329114.81,1.476,direct,
2016-09-07,1.486,1.448,1.476,281174.38,410549.51,1.48,direct,
