time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-03-16 04:00:00,1760.01,1745.8,1749.04,11783.81,20665710.53,1750.73,direct,
2021-03-16 05:00:00,1757.6,1739.32,1750.73,15782.54,27578493.47,1751.15,direct,
2021-03-16 06:00:00,1792.42,1737.36,1751.15,30661.75,54359306.84,1790.34,direct,
2021-03-16 07:00:00,1802.65,1786.78,1790.34,57961.47,104164144.36,1798.25,direct,
2021-03-16 08:00:00,1819.57,1798.12,1798.25,46026.65,83299211.49,1803.55,direct,
2021-03-16 09:00:00,1816.69,1800.41,1803.55,29155.81,52643080.97,1805.95,direct,
2021-03-16 10:00:00,1808.25,1787.33,1805.95,16587.87,29847470.4,1795.4,direct,
2021-03-16 11:00:00,1799.86,1780.61,1795.4,10456.93,18721644.0,1791.53,direct,
2021-03-16 12:00:00,1794.87,1765.42,1791.53,16589.8,29527530.23,1778.44,direct,
2021-03-16 13:00:00,1792.97,1775.33,1778.44,18160.95,32386661.85,1784.89,direct,
2021-03-16 14:00:00,1796.05,1779.5,1784.89,11298.73,20199926.57,1796.05,direct,
2021-03-16 15:00:00,1806.89,1792.68,1796.05,29532.74,53145198.89,1803.35,direct,
2021-03-16 16:00:00,1812.96,1795.28,1803.35,23491.97,42392465.42,1800.16,direct,
2021-03-16 17:00:00,1804.5,1761.33,1800.16,25418.55,45181928.49,1773.13,direct,
2021-03-16 18:00:00,1781.72,1767.09,1773.13,17371.61,30859477.65,1777.34,direct,
2021-03-16 19:00:00,1787.69,1772.43,1777.34,10480.93,18663058.33,1784.89,direct,
2021-03-16 20:00:00,1799.55,1782.26,1784.89,17276.14,31022702.96,1797.07,direct,
2021-03-16 21:00:00,1799.13,1787.51,1797.07,13667.66,24558730.56,1787.62,direct,
2021-03-16 22:00:00,1799.07,1781.58,1787.62,13838.18,24830116.69,1788.21,direct,
2021-03-16 23:00:00,1807.74,1783.19,1788.21,14068.85,25273316.59,1805.64,direct,
2021-03-17 00:00:00,1812.56,1772.55,1805.64,19496.01,34897744.75,1784.32,direct,
2021-03-17 01:00:00,1786.82,1774.96,1784.32,11102.24,19796719.37,1784.76,direct,
2021-03-17 02:00:00,1786.24,1767.24,1784.76,17611.98,31258170.03,1775.34,direct,
2021-03-17 03:00:00,1778.4,1759.81,1775.34,18242.3,32267947.86,1767.48,direct,
2021-03-17 04:00:00,1776.73,1764.82,1767.48,12596.26,22308210.24,1772.15,direct,
2021-03-17 05:00:00,1780.93,1765.32,1772.15,11513.24,20397499.39,1779.36,direct,
2021-03-17 06:00:00,1787.8,1773.73,1779.36,9621.84,17135250.46,1784.48,direct,
2021-03-17 07:00:00,1787.4,1768.97,1783.96,20820.14,37179020.86,1785.72,multiply,BTC
2021-03-17 08:00:00,1791.32,1779.6,1785.72,23148.34,41233568.54,1781.28,multiply,BTC
2021-03-17 09:00:00,1784.02,1752.61,1780.61,33450.93,59221534.49,1758.1,direct,
2021-03-17 10:00:00,1769.43,1756.1,1758.1,22925.05,40404176.95,1766.53,direct,
2021-03-17 11:00:00,1768.01,1755.94,1766.53,14986.5,26384186.06,1758.87,direct,
2021-03-17 12:00:00,1768.07,1742.81,1758.87,24357.89,42742704.63,1765.22,direct,
2021-03-17 13:00:00,1775.54,1760.77,1765.22,14193.74,25107464.42,1769.45,direct,
2021-03-17 14:00:00,1778.61,1760.84,1769.45,38418.34,68117302.95,1768.78,direct,
2021-03-17 15:00:00,1777.36,1759.15,1768.78,27982.02,49513697.32,1773.85,direct,
2021-03-17 16:00:00,1793.23,1768.94,1773.85,27293.32,48709162.52,1786.69,direct,
2021-03-17 17:00:00,1794.22,1784.41,1786.69,14476.97,25907521.79,1789.02,direct,
2021-03-17 18:00:00,1824.93,1789.02,1789.02,61797.73,111930925.96,1821.21,direct,
2021-03-17 19:00:00,1838.35,1819.49,1821.21,62846.29,114818266.27,1826.52,direct,
2021-03-17 20:00:00,1837.56,1811.01,1826.52,51866.28,94651306.12,1814.38,direct,
2021-03-17 21:00:00,1826.15,1808.96,1814.38,37270.72,67706131.36,1820.11,direct,
2021-03-17 22:00:00,1824.62,1812.59,1820.11,45110.24,81947083.06,1813.99,direct,
2021-03-17 23:00:00,1825.82,1809.1,1813.99,31874.18,57896665.12,1823.03,direct,
2021-03-18 00:00:00,1837.85,1811.16,1823.03,27193.94,49654430.7,1818.38,direct,
2021-03-18 01:00:00,1832.19,1815.75,1818.38,16152.28,29465764.05,1829.69,direct,
2021-03-18 02:00:00,1849.5,1829.69,1829.69,19039.92,35038787.19,1840.36,direct,
2021-03-18 03:00:00,1845.85,1831.01,1840.36,18232.29,33515284.16,1834.53,direct,
2021-03-18 04:00:00,1844.21,1827.97,1834.53,18257.51,33498745.93,1830.58,direct,
2021-03-18 05:00:00,1834.39,1825.91,1830.58,9643.11,17661810.33,1831.48,direct,
2021-03-18 06:00:00,1833.63,1819.87,1831.48,11039.51,20158678.81,1829.68,direct,
2021-03-18 07:00:00,1829.75,1810.04,1829.68,15957.97,29020580.84,1815.07,direct,
2021-03-18 08:00:00,1821.42,1804.9,1815.07,9820.83,17805232.35,1805.66,direct,
2021-03-18 09:00:00,1817.89,1804.47,1805.66,8542.38,15472239.86,1812.93,direct,
2021-03-18 10:00:00,1821.31,1811.0,1812.93,6181.53,11223274.35,1819.51,direct,
2021-03-18 11:00:00,1819.61,1792.3,1819.51,15531.97,28005060.81,1799.35,direct,
2021-03-18 12:00:00,1799.66,1782.59,1799.35,17991.71,32234837.26,1797.94,direct,
2021-03-18 13:00:00,1801.04,1788.95,1797.94,14838.42,26628353.98,1791.32,direct,
2021-03-18 14:00:00,1799.82,1783.16,1791.32,16784.85,30036285.34,1791.31,direct,
2021-03-18 15:00:00,1826.29,1786.7,1791.31,30824.05,55796940.95,1821.86,direct,
2021-03-18 16:00:00,1832.21,1809.84,1821.86,28759.41,52474366.93,1811.07,direct,
