time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-03-16 04:00:00,1.687,1.667,1.672,21627.82,36043.19,1.667,multiply,ETH
2021-03-16 05:00:00,1.671,1.631,1.671,32849.65,53698.18,1.642,direct,
2021-03-16 06:00:00,1.689,1.623,1.642,48538.9,80132.2,1.688,direct,
2021-03-16 07:00:00,1.696,1.673,1.688,82539.61,138615.84,1.679,multiply,ETH
2021-03-16 08:00:00,1.701,1.678,1.678,6687.55,11317.07,1.695,direct,
2021-03-16 09:00:00,1.714,1.692,1.695,14415.86,24522.42,1.714,direct,
2021-03-16 10:00:00,1.714,1.674,1.714,23501.82,39756.09,1.689,direct,
2021-03-16 11:00:00,1.685,1.663,1.688,15638.57,26142.63,1.672,multiply,ETH
2021-03-16 12:00:00,1.678,1.667,1.671,10116.29,16910.77,1.667,direct,
2021-03-16 13:00:00,1.693,1.667,1.667,4770.2,8012.38,1.684,direct,
2021-03-16 14:00:00,1.71,1.681,1.684,10798.01,18246.52,1.701,direct,
2021-03-16 15:00:00,1.754,1.7,1.708,29459.67,51500.44,1.748,multiply,ETH
2021-03-16 16:00:00,1.782,1.731,1.748,40441.0,72057.71,1.782,multiply,ETH
2021-03-16 17:00:00,1.79,1.687,1.79,51821.97,89346.46,1.698,direct,
2021-03-16 18:00:00,1.72,1.697,1.698,18567.6,31754.06,1.698,direct,
2021-03-16 19:00:00,1.701,1.682,1.698,13311.61,22529.28,1.697,direct,
2021-03-16 20:00:00,1.71,1.68,1.697,30384.78,51368.05,1.689,direct,
2021-03-16 21:00:00,1.716,1.689,1.689,16712.62,28590.91,1.713,direct,
2021-03-16 22:00:00,1.731,1.702,1.713,17880.35,30700.13,1.702,direct,
2021-03-16 23:00:00,1.715,1.697,1.702,17834.93,30333.18,1.715,direct,
2021-03-17 00:00:00,1.705,1.691,1.717,24739.5,42152.33,1.704,multiply,ETH
2021-03-17 01:00:00,1.714,1.702,1.704,22118.13,37813.63,1.71,multiply,ETH
2021-03-17 02:00:00,1.71,1.687,1.71,7129.22,12064.99,1.693,direct,
2021-03-17 03:00:00,1.705,1.693,1.693,13433.59,22805.83,1.7,direct,
2021-03-17 04:00:00,1.7,1.692,1.7,3759.66,6373.82,1.692,direct,
2021-03-17 05:00:00,1.707,1.694,1.699,6557.33,11143.96,1.699,multiply,ETH
2021-03-17 06:00:00,1.715,1.694,1.699,14985.02,25390.07,1.694,multiply,ETH
2021-03-17 07:00:00,1.701,1.69,1.694,12700.75,21482.5,1.699,direct,
2021-03-17 08:00:00,1.698,1.687,1.699,19561.5,33093.32,1.692,multiply,ETH
