time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2016-01-09,0.0,0.0,0.0,0.0,0.0,0.0,direct,
2017-02-16,1202.2,10.32,15.65,1347.33,180745.53,134.15,multiply,BTC
2017-02-17,157.41,22.04,134.15,610.0,15344.16,25.15,multiply,BTC
2017-02-18,55.4,14.94,25.15,1097.83,20597.65,18.76,multiply,BTC
2017-02-19,38.13,14.72,18.76,410.89,15661.76,38.12,multiply,BTC
2017-02-20,56.73,16.7,38.12,1707.33,86781.03,50.83,multiply,BTC
2017-02-21,54.5,38.05,50.83,2508.34,95519.07,38.08,multiply,BTC
2017-02-22,44.56,32.49,38.08,1510.18,60695.49,40.19,multiply,BTC
2017-02-23,42.04,38.08,40.19,30.86,1208.64,39.17,multiply,BTC
2017-02-24,45.88,34.12,39.17,633.28,28498.07,45.0,multiply,BTC
2017-02-25,51.6,43.82,45.0,775.92,39915.63,51.44,multiply,BTC
2017-02-26,52.72,51.2,51.44,198.97,10200.86,51.27,multiply,BTC
2017-02-27,53.24,49.36,51.27,4311.22,222233.34,51.55,multiply,BTC
2017-02-28,69.04,30.92,51.55,18552.87,750188.64,40.44,multiply,BTC
2017-03-01,41.59,18.34,40.44,27850.11,651399.75,23.39,multiply,BTC
2017-03-02,36.41,24.0,23.39,9180.43,245498.57,26.74,multiply,BTC
2017-03-03,30.8,26.17,26.74,231.39,6087.33,26.31,multiply,BTC
2017-03-04,30.22,25.78,26.31,5.048,130.13,25.78,multiply,BTC
2017-03-05,33.79,25.92,25.78,63.6,2132.81,33.53,multiply,BTC
2017-03-06,35.76,30.65,33.53,513.48,17468.36,34.02,multiply,BTC
2017-03-07,38.84,18.49,34.02,1048.21,31902.39,30.44,multiply,BTC
2017-03-08,28.93,21.18,30.44,746.34,19406.19,26.0,multiply,BTC
2017-03-09,32.17,26.26,26.0,508.81,14984.29,29.45,multiply,BTC
2017-03-10,30.69,27.25,29.45,78.15,2398.49,30.69,multiply,BTC
2017-03-11,37.74,23.45,30.69,609.43,18735.26,30.74,multiply,BTC
2017-03-12,60.03,28.35,30.74,794.76,40543.55,51.01,multiply,BTC
2017-03-13,60.67,42.32,51.01,92.66,5392.34,58.19,multiply,BTC
2017-03-14,63.55,49.73,58.19,25.82,1600.08,61.97,multiply,BTC
2017-03-15,70.67,9.401,61.97,3578.7,73654.37,20.58,multiply,BTC
2017-03-16,29.74,16.47,20.58,33690.56,979576.45,29.08,multiply,BTC
2017-03-17,44.9,24.53,29.08,36136.94,1183924.74,32.76,multiply,BTC
2017-03-18,33.77,25.66,32.76,11606.93,300810.05,25.92,multiply,BTC
2017-03-19,35.31,27.75,25.92,4618.62,153166.92,33.16,multiply,BTC
2017-03-20,34.71,31.1,33.16,4111.62,133300.51,32.42,multiply,BTC
2017-03-21,34.97,28.81,32.42,2284.36,68543.87,30.01,multiply,BTC
2017-03-22,31.18,26.23,30.01,5853.51,170432.82,29.12,multiply,BTC
2017-03-23,29.13,26.58,29.12,2662.91,75933.08,28.52,multiply,BTC
2017-03-24,27.23,24.37,28.52,3720.75,98143.63,26.38,multiply,BTC
2017-03-25,28.65,24.56,26.38,4320.85,115946.34,26.83,multiply,BTC
2017-03-26,29.3,26.31,26.83,2871.2,77741.93,27.08,multiply,BTC
2017-03-27,32.94,28.61,27.08,5807.91,177428.41,30.55,multiply,BTC
2017-03-28,32.54,30.09,30.55,3331.7,103138.13,30.96,multiply,BTC
2017-03-29,32.84,30.76,30.96,3537.18,112883.43,31.91,multiply,BTC
2017-03-30,32.65,30.68,31.91,2551.43,80980.57,31.74,multiply,BTC
2017-03-31,34.96,32.16,31.74,5826.48,198870.87,34.13,multiply,BTC
2017-04-01,39.59,33.05,34.13,8002.18,297677.98,37.2,multiply,BTC
2017-04-02,39.51,34.86,37.2,6071.53,223406.94,36.8,multiply,BTC
2017-04-03,40.53,34.32,36.8,4253.79,151081.78,35.52,multiply,BTC
2017-04-04,36.47,33.13,35.52,3392.73,115707.94,34.1,multiply,BTC
2017-04-05,35.27,32.53,34.1,2244.48,75850.88,33.79,multiply,BTC
2017-04-06,35.46,32.86,33.79,4099.04,142472.74,34.76,multiply,BTC
2017-04-07,35.88,32.14,34.76,2134.96,71013.66,33.26,multiply,BTC
2017-04-08,34.87,32.0,33.26,1262.62,42728.52,33.84,multiply,BTC
2017-04-09,35.9,32.26,33.84,1075.81,35837.43,33.31,multiply,BTC
2017-04-10,33.55,29.07,33.31,3213.16,96390.98,30.0,multiply,BTC
2017-04-11,30.82,19.91,30.0,5900.95,162151.36,27.48,multiply,BTC
2017-04-12,30.14,26.7,27.48,3541.78,101479.38,28.65,multiply,BTC
2017-04-13,29.31,25.89,28.65,4769.13,135356.05,28.38,multiply,BTC
2017-04-14,29.3,27.82,28.38,3651.82,102196.67,27.99,multiply,BTC
2017-04-15,29.32,26.79,27.99,4288.71,124023.68,28.92,multiply,BTC
2017-04-16,29.54,28.24,28.92,1682.0,49524.03,29.44,multiply,BTC
2017-04-17,29.9,28.99,29.44,779.1,23274.93,29.87,multiply,BTC
2017-04-18,30.19,24.45,29.87,3692.77,99275.49,26.88,multiply,BTC
2017-04-19,28.16,26.15,26.88,2884.14,77280.99,26.8,multiply,BTC
2017-04-20,27.96,25.59,26.8,2103.14,55514.65,26.4,multiply,BTC
2017-04-21,31.14,25.88,26.4,4335.11,129311.59,29.83,multiply,BTC
2017-04-22,31.17,27.96,29.83,3639.97,111610.19,30.66,multiply,BTC
2017-04-23,30.97,27.74,30.66,3741.25,113235.15,30.27,multiply,BTC
2017-04-24,31.15,28.68,30.27,2798.38,86204.33,30.81,multiply,BTC
2017-04-25,31.47,29.38,30.81,6074.72,187092.82,30.8,multiply,BTC
2017-04-26,32.24,30.61,30.8,2727.89,86691.69,31.78,multiply,BTC
2017-04-27,33.74,30.43,31.78,4625.84,145513.55,31.46,multiply,BTC
2017-04-28,37.35,31.19,31.46,5868.66,202568.16,34.52,multiply,BTC
2017-04-29,38.98,32.04,34.52,3791.33,138258.74,36.47,multiply,BTC
