time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-03-16 04:00:00,47.73,46.58,46.58,483.44,22816.35,47.55,direct,
2021-03-16 05:00:00,47.72,45.09,47.55,759.45,35316.51,45.09,direct,
2021-03-16 06:00:00,46.69,44.79,45.09,554.93,25113.14,46.12,direct,
2021-03-16 07:00:00,46.28,45.91,46.12,65.07,2995.12,46.28,direct,
2021-03-16 08:00:00,46.91,45.99,46.18,396.04,18571.23,46.89,multiply,ETH
2021-03-16 09:00:00,47.17,46.85,46.89,103.38,4876.58,47.17,multiply,ETH
2021-03-16 10:00:00,54.94,47.11,47.11,2945.25,148956.78,53.66,direct,
2021-03-16 11:00:00,55.71,50.95,53.66,1023.27,54533.82,55.71,direct,
2021-03-16 12:00:00,58.34,54.3,55.71,2276.03,128256.56,54.34,direct,
2021-03-16 13:00:00,60.87,41.11,54.34,4423.49,250443.48,55.78,direct,
2021-03-16 14:00:00,56.21,53.08,55.78,1847.95,101705.88,54.0,direct,
2021-03-16 15:00:00,54.32,50.04,54.0,3436.47,175901.36,50.14,direct,
2021-03-16 16:00:00,50.93,49.3,50.14,1477.49,73906.37,50.56,direct,
2021-03-16 17:00:00,52.19,50.17,50.55,1126.47,58603.96,52.02,multiply,BTC
2021-03-16 18:00:00,52.99,51.65,51.65,204.96,10742.95,52.05,direct,
2021-03-16 19:00:00,52.53,51.82,52.31,382.68,19944.82,52.12,multiply,ETH
2021-03-16 20:00:00,52.32,50.37,51.71,1437.96,73517.1,51.69,direct,
2021-03-16 21:00:00,51.94,51.1,51.62,411.45,21070.76,51.21,multiply,BTC
2021-03-16 22:00:00,51.54,48.73,51.4,1360.23,68785.13,50.78,direct,
2021-03-16 23:00:00,51.57,50.78,50.78,292.89,15018.55,50.96,direct,
2021-03-17 00:00:00,53.15,50.92,51.53,364.53,19194.43,52.66,multiply,ETH
2021-03-17 01:00:00,53.24,52.3,52.3,185.55,9767.26,53.22,direct,
2021-03-17 02:00:00,52.84,51.82,53.11,347.07,17985.36,51.82,multiply,BTC
2021-03-17 03:00:00,51.98,50.99,51.98,253.14,13058.61,51.59,direct,
2021-03-17 04:00:00,52.38,51.59,51.59,113.53,5915.88,52.27,direct,
2021-03-17 05:00:00,52.96,52.1,52.27,58.72,3061.56,52.14,direct,
2021-03-17 06:00:00,52.8,52.55,52.51,211.21,11133.63,52.71,multiply,ETH
2021-03-17 07:00:00,53.26,52.27,52.73,173.33,9229.45,53.25,multiply,BTC
2021-03-17 08:00:00,54.27,53.16,53.33,96.91,5202.8,53.94,direct,
2021-03-17 09:00:00,56.65,53.94,53.94,608.34,33727.15,54.78,direct,
2021-03-17 10:00:00,54.82,53.72,54.5,140.37,7540.7,53.72,multiply,ETH
