time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-03-16 04:00:00,0.4569,0.4502,0.4569,4286901.79,1943049.43,0.4537,direct,
2021-03-16 05:00:00,0.465,0.4503,0.4537,7075733.32,3232619.73,0.4645,direct,
2021-03-16 06:00:00,0.5192,0.4635,0.4645,59159821.48,29293919.5,0.4944,direct,
2021-03-16 07:00:00,0.5003,0.4785,0.4944,18311967.04,8956830.87,0.4796,direct,
2021-03-16 08:00:00,0.4844,0.4719,0.4796,28317230.28,13515725.56,0.4794,direct,
2021-03-16 09:00:00,0.4853,0.4706,0.4794,8053229.8,3843658.43,0.4733,direct,
2021-03-16 10:00:00,0.4765,0.4643,0.4733,10071939.6,4727940.76,0.473,direct,
2021-03-16 11:00:00,0.4773,0.4659,0.473,3621503.84,1705128.54,0.4735,direct,
2021-03-16 12:00:00,0.4747,0.4662,0.4735,6052748.84,2848663.17,0.4709,direct,
2021-03-16 13:00:00,0.485,0.4706,0.4709,9972152.07,4783993.36,0.4753,direct,
2021-03-16 14:00:00,0.4769,0.4692,0.4753,4767796.3,2255216.64,0.4713,direct,
2021-03-16 15:00:00,0.4744,0.4669,0.4713,5088686.83,2394398.73,0.4733,direct,
2021-03-16 16:00:00,0.4804,0.4681,0.4733,6951258.93,3291740.09,0.4693,direct,
2021-03-16 17:00:00,0.4709,0.4497,0.4693,38067119.91,17383717.27,0.4544,direct,
2021-03-16 18:00:00,0.4589,0.4539,0.4544,5933800.57,2710489.32,0.4541,direct,
2021-03-16 19:00:00,0.4567,0.4521,0.4541,4682075.22,2127838.35,0.4545,direct,
2021-03-16 20:00:00,0.461,0.4538,0.4545,3775562.92,1729321.33,0.4599,direct,
2021-03-16 21:00:00,0.4599,0.4546,0.4599,3138028.76,1433583.59,0.4558,direct,
2021-03-16 22:00:00,0.4636,0.4545,0.4558,3256806.35,1494680.32,0.4602,direct,
2021-03-16 23:00:00,0.4633,0.4585,0.4602,3218082.68,1485654.29,0.4603,direct,
2021-03-17 00:00:00,0.4759,0.4572,0.4603,7419641.59,3462174.15,0.475,direct,
2021-03-17 01:00:00,0.475,0.4648,0.475,6607139.89,3100449.09,0.4702,direct,
2021-03-17 02:00:00,0.4747,0.4674,0.4702,2713584.78,1275584.46,0.4726,direct,
2021-03-17 03:00:00,0.4818,0.4716,0.4726,4872351.34,2325154.6,0.4723,direct,
2021-03-17 04:00:00,0.4742,0.4698,0.4723,3018645.31,1425784.36,0.4732,direct,
2021-03-17 05:00:00,0.4733,0.4666,0.4732,2189058.5,1026575.65,0.4692,direct,
2021-03-17 06:00:00,0.4703,0.4662,0.4692,2392002.84,1120494.39,0.4679,direct,
2021-03-17 07:00:00,0.4735,0.4649,0.4679,4801904.08,2256732.92,0.4649,direct,
2021-03-17 08:00:00,0.467,0.4606,0.4649,14471990.82,6704908.35,0.4614,direct,
2021-03-17 09:00:00,0.4636,0.454,0.4614,4725159.85,2166664.31,0.4592,direct,
2021-03-17 10:00:00,0.4615,0.4591,0.4592,2388476.0,1100107.71,0.4596,direct,
2021-03-17 11:00:00,0.4606,0.4556,0.4596,2080628.44,951408.39,0.4566,direct,
2021-03-17 12:00:00,0.467,0.4543,0.4566,6302627.28,2901786.74,0.4623,direct,
2021-03-17 13:00:00,0.4663,0.461,0.4623,3632091.98,1684040.43,0.4653,direct,
2021-03-17 14:00:00,0.4677,0.4625,0.4653,1887084.98,877570.32,0.4642,direct,
