time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2016-01-09,0.0,0.0,0.0,0.0,0.0,0.0,direct,
2017-10-01,0.08806,0.01497,0.03925,1714880221.3,43190415.57,0.02519,multiply,BTC
2017-10-02,0.03063,0.01972,0.02519,2193436913.28,56765624.4,0.02588,multiply,BTC
2017-10-03,0.02683,0.02066,0.02588,718262823.26,14966793.97,0.02084,multiply,BTC
2017-10-04,0.02308,0.02033,0.02084,412967946.05,9041869.33,0.02189,multiply,BTC
2017-10-05,0.02269,0.02096,0.02189,251628618.6,5415241.93,0.02152,multiply,BTC
2017-10-06,0.02186,0.01814,0.02152,372098441.65,6881330.42,0.01849,multiply,BTC
2017-10-07,0.02182,0.01774,0.01849,374170143.19,7784216.54,0.0208,multiply,BTC
2017-10-08,0.0244,0.02015,0.0208,344317591.75,7066108.0,0.02052,multiply,BTC
2017-10-09,0.0237,0.02107,0.02052,208740275.58,4607316.16,0.02207,multiply,BTC
2017-10-10,0.02229,0.0211,0.02207,126480704.1,2717153.8,0.02148,multiply,BTC
2017-10-11,0.02263,0.02123,0.02148,164904360.51,3715132.65,0.02253,multiply,BTC
2017-10-12,0.02743,0.0232,0.02253,343803093.02,9058595.06,0.02635,multiply,BTC
2017-10-13,0.03456,0.02537,0.02635,520342338.92,17453165.07,0.03354,multiply,BTC
2017-10-14,0.03955,0.02953,0.03354,792840919.35,25537918.43,0.03221,multiply,BTC
2017-10-15,0.03293,0.02958,0.03221,221666539.84,6657395.25,0.03003,multiply,BTC
2017-10-16,0.03139,0.0288,0.02992,189713134.22,5484955.14,0.02891,multiply,BTC
2017-10-17,0.02878,0.02475,0.02891,225242505.55,6128645.59,0.02721,multiply,BTC
2017-10-18,0.02766,0.02587,0.02721,70396420.82,1876238.31,0.02665,multiply,BTC
2017-10-19,0.02758,0.02616,0.02666,109264417.06,2951406.84,0.02701,multiply,BTC
2017-10-20,0.03164,0.02799,0.02701,290322512.38,8856267.89,0.0305,multiply,BTC
2017-10-21,0.03093,0.02763,0.0305,185580624.83,5272615.48,0.02841,multiply,BTC
2017-10-22,0.02842,0.02752,0.02841,103530064.15,2867849.22,0.0277,multiply,BTC
2017-10-23,0.02757,0.0245,0.0277,135013715.72,3483188.57,0.0258,multiply,BTC
2017-10-24,0.02839,0.02266,0.0258,284654158.99,7689673.64,0.02701,multiply,BTC
2017-10-25,0.02867,0.02666,0.02701,91100996.76,2496943.49,0.02741,multiply,BTC
2017-10-26,0.02838,0.02655,0.02741,89386495.95,2426117.73,0.02714,multiply,BTC
2017-10-27,0.02657,0.02508,0.02714,93383690.55,2470869.92,0.02646,multiply,BTC
2017-10-28,0.02634,0.02577,0.02646,66899011.41,1731632.56,0.02588,multiply,BTC
2017-10-29,0.03012,0.02754,0.02588,163710098.95,4639555.21,0.02834,multiply,BTC
2017-10-30,0.02885,0.02744,0.02834,133679387.86,3815095.41,0.02854,multiply,BTC
2017-10-31,0.03174,0.02897,0.02854,240371750.85,7334791.39,0.03051,multiply,BTC
2017-11-01,0.032,0.02298,0.03057,343507310.31,7915510.26,0.02304,multiply,BTC
2017-11-02,0.02634,0.01784,0.02304,274019086.98,5832544.03,0.02129,multiply,BTC
2017-11-03,0.0236,0.0196,0.02129,132014491.82,2974177.98,0.02253,multiply,BTC
2017-11-04,0.0243,0.02172,0.0223,112414141.73,2466829.87,0.02194,multiply,BTC
2017-11-05,0.02283,0.02062,0.02194,110588890.32,2288165.98,0.02069,multiply,BTC
2017-11-06,0.02324,0.01949,0.02069,211695627.86,4625969.09,0.02185,multiply,BTC
2017-11-07,0.02379,0.02145,0.02185,111588070.46,2464930.54,0.02209,multiply,BTC
2017-11-08,0.02754,0.02204,0.02209,259967107.53,6521923.04,0.02509,multiply,BTC
2017-11-09,0.03493,0.02396,0.02509,615507183.44,19835178.65,0.03223,multiply,BTC
2017-11-10,0.03014,0.02639,0.03223,243086113.86,6416140.32,0.02639,multiply,BTC
2017-11-11,0.0284,0.02568,0.02659,201507940.44,5480612.84,0.0272,multiply,BTC
2017-11-12,0.02633,0.02228,0.0272,308434735.11,7433379.82,0.0241,multiply,BTC
2017-11-13,0.02739,0.02472,0.0241,170763891.61,4388367.84,0.0257,multiply,BTC
2017-11-14,0.02672,0.02553,0.0257,116207516.75,3043513.0,0.02619,multiply,BTC
2017-11-15,0.02891,0.0252,0.02619,250554443.78,6660677.45,0.02658,multiply,BTC
