time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-03-16 04:00:00,12.14,12.0,12.04,13429.36,162263.06,12.05,direct,
2021-03-16 05:00:00,12.06,11.84,12.05,23476.75,280222.09,11.95,direct,
2021-03-16 06:00:00,12.52,11.85,11.95,45855.21,561276.02,12.5,direct,
2021-03-16 07:00:00,12.52,12.36,12.46,107024.98,1325089.59,12.38,multiply,BTC
2021-03-16 08:00:00,12.56,12.47,12.47,16897.69,211370.89,12.49,direct,
2021-03-16 09:00:00,12.46,12.39,12.46,98902.4,1228033.78,12.42,multiply,BTC
2021-03-16 10:00:00,12.43,12.31,12.42,94696.2,1167014.07,12.32,multiply,BTC
2021-03-16 11:00:00,12.28,12.22,12.32,109492.15,1341448.92,12.25,multiply,BTC
2021-03-16 12:00:00,12.24,12.15,12.25,142557.17,1736609.92,12.18,multiply,BTC
2021-03-16 13:00:00,12.29,12.14,12.22,17868.18,217793.34,12.2,direct,
2021-03-16 14:00:00,12.27,12.2,12.19,88020.43,1079089.47,12.26,multiply,BTC
2021-03-16 15:00:00,12.43,12.27,12.3,20673.32,254968.92,12.43,direct,
2021-03-16 16:00:00,12.44,12.27,12.43,24359.39,300924.9,12.37,direct,
2021-03-16 17:00:00,12.46,12.08,12.37,32956.75,403946.38,12.19,direct,
2021-03-16 18:00:00,12.26,12.12,12.19,13365.55,163147.71,12.22,direct,
2021-03-16 19:00:00,12.26,12.19,12.22,9267.97,113333.8,12.25,direct,
2021-03-16 20:00:00,12.36,12.27,12.22,172608.45,2118712.61,12.27,multiply,BTC
2021-03-16 21:00:00,12.37,12.26,12.3,25451.07,313401.09,12.35,direct,
2021-03-16 22:00:00,12.41,12.3,12.35,31960.03,395088.62,12.37,direct,
2021-03-16 23:00:00,12.45,12.33,12.37,20339.59,252234.62,12.45,direct,
2021-03-17 00:00:00,12.47,12.25,12.45,21243.16,262336.97,12.32,direct,
2021-03-17 01:00:00,12.39,12.28,12.32,19471.3,240131.04,12.39,direct,
2021-03-17 02:00:00,12.4,12.24,12.39,19108.58,234804.66,12.27,direct,
2021-03-17 03:00:00,12.35,12.23,12.27,29206.2,359116.52,12.23,direct,
2021-03-17 04:00:00,12.27,12.03,12.23,30559.84,371567.31,12.06,direct,
2021-03-17 05:00:00,12.11,11.96,12.06,28123.44,338234.04,12.11,direct,
2021-03-17 06:00:00,12.24,12.04,12.11,12696.07,153841.06,12.24,direct,
2021-03-17 07:00:00,12.17,12.11,12.22,113838.22,1381921.84,12.14,multiply,BTC
2021-03-17 08:00:00,12.16,12.11,12.14,72680.37,881472.61,12.13,multiply,BTC
2021-03-17 09:00:00,12.17,11.83,12.13,62782.55,750772.58,11.97,direct,
2021-03-17 10:00:00,12.0,11.92,11.92,157864.74,1891473.2,11.98,multiply,BTC
2021-03-17 11:00:00,12.02,11.89,12.02,20023.82,239317.02,11.94,direct,
2021-03-17 12:00:00,12.05,11.82,11.94,36582.21,436569.26,11.98,direct,
2021-03-17 13:00:00,12.03,11.92,11.98,17936.7,214918.22,12.0,direct,
2021-03-17 14:00:00,12.09,11.9,12.0,26795.39,320764.59,11.99,direct,
2021-03-17 15:00:00,12.02,11.92,11.92,67210.2,802806.01,11.94,multiply,BTC
2021-03-17 16:00:00,12.15,11.97,12.06,24327.67,293473.14,12.07,direct,
2021-03-17 17:00:00,12.19,12.07,12.07,12872.75,156259.77,12.18,direct,
2021-03-17 18:00:00,12.32,12.18,12.18,51807.51,634996.15,12.29,direct,
2021-03-17 19:00:00,12.37,12.25,12.29,56875.12,700573.89,12.36,direct,
2021-03-17 20:00:00,12.42,12.32,12.36,36515.37,452158.41,12.32,direct,
2021-03-17 21:00:00,12.49,12.29,12.32,26544.14,328758.48,12.48,direct,
2021-03-17 22:00:00,12.49,12.37,12.48,32482.79,403570.29,12.43,direct,
2021-03-17 23:00:00,12.58,12.41,12.43,26737.39,333772.74,12.55,direct,
2021-03-18 00:00:00,12.64,12.43,12.55,60028.36,754586.2,12.56,direct,
2021-03-18 01:00:00,12.61,12.5,12.56,22921.72,287786.8,12.52,direct,
2021-03-18 02:00:00,12.62,12.52,12.52,20109.52,252667.03,12.6,direct,
2021-03-18 03:00:00,12.65,12.5,12.6,28222.27,354747.08,12.51,direct,
2021-03-18 04:00:00,12.53,12.47,12.51,18403.93,230027.17,12.53,direct,
2021-03-18 05:00:00,12.5,12.41,12.45,54457.22,676274.36,12.42,multiply,BTC
2021-03-18 06:00:00,12.52,12.43,12.5,17152.68,213849.63,12.49,direct,
2021-03-18 07:00:00,12.51,12.34,12.49,44451.13,551453.48,12.39,direct,
2021-03-18 08:00:00,12.43,12.31,12.39,10328.37,127943.45,12.32,direct,
2021-03-18 09:00:00,12.45,12.32,12.32,11231.79,139225.98,12.44,direct,
2021-03-18 10:00:00,12.53,12.44,12.44,30873.3,385355.42,12.52,direct,
2021-03-18 11:00:00,12.53,12.35,12.52,26564.17,329122.2,12.38,direct,
2021-03-18 12:00:00,12.42,12.29,12.38,29893.04,370089.99,12.41,direct,
2021-03-18 13:00:00,12.46,12.32,12.41,39182.46,486147.26,12.34,direct,
2021-03-18 14:00:00,12.36,12.24,12.34,30944.21,380103.14,12.33,direct,
2021-03-18 15:00:00,12.51,12.3,12.33,36311.49,451475.49,12.49,direct,
2021-03-18 16:00:00,12.53,12.34,12.49,45192.41,562951.65,12.35,direct,
2021-03-18 17:00:00,12.35,12.24,12.3,70284.91,861157.2,12.25,multiply,BTC
2021-03-18 18:00:00,12.36,12.26,12.32,30778.16,378368.97,12.27,direct,
2021-03-18 19:00:00,12.32,12.1,12.27,41798.43,510777.15,12.15,direct,
2021-03-18 20:00:00,12.15,12.08,12.09,39742.89,482671.9,12.14,multiply,BTC
2021-03-18 21:00:00,12.26,12.19,12.21,10573.12,129161.48,12.23,direct,
2021-03-18 22:00:00,12.3,12.22,12.23,15523.35,190497.58,12.22,direct,
2021-03-18 23:00:00,12.3,12.17,12.22,26236.36,320732.55,12.17,direct,
2021-03-19 00:00:00,12.17,11.9,12.17,70072.7,842393.39,12.13,direct,
2021-03-19 01:00:00,12.19,12.09,12.13,16747.49,203117.52,12.19,direct,
2021-03-19 02:00:00,12.26,12.18,12.19,9639.55,117702.66,12.21,direct,
2021-03-19 03:00:00,12.24,12.16,12.21,14029.29,171074.99,12.2,direct,
2021-03-19 04:00:00,12.24,12.16,12.2,16699.08,203907.67,12.2,direct,
2021-03-19 05:00:00,12.3,12.2,12.2,13154.8,160981.07,12.3,direct,
2021-03-19 06:00:00,12.25,12.19,12.24,29710.33,363312.48,12.23,multiply,BTC
2021-03-19 07:00:00,12.33,12.23,12.3,10028.08,123271.53,12.23,direct,
2021-03-19 08:00:00,12.32,12.23,12.18,52834.43,646410.13,12.23,multiply,BTC
2021-03-19 09:00:00,12.35,12.26,12.31,12672.62,156152.86,12.26,direct,
2021-03-19 10:00:00,12.32,12.25,12.26,5454.68,66985.32,12.31,direct,
2021-03-19 11:00:00,12.35,12.28,12.25,45687.98,561158.76,12.28,multiply,BTC
2021-03-19 12:00:00,12.31,12.23,12.28,65351.53,803739.35,12.3,multiply,BTC
2021-03-19 13:00:00,12.4,12.25,12.35,36352.36,448650.1,12.3,direct,
2021-03-19 14:00:00,12.36,12.29,12.23,41237.45,507689.05,12.31,multiply,BTC
2021-03-19 15:00:00,12.39,12.31,12.35,18116.17,223627.92,12.38,direct,
2021-03-19 16:00:00,12.41,12.29,12.38,22398.21,276586.23,12.36,direct,
2021-03-19 17:00:00,12.38,12.3,12.36,10795.32,133219.67,12.32,direct,
2021-03-19 18:00:00,12.41,12.29,12.32,12679.08,156494.29,12.41,direct,
2021-03-19 19:00:00,12.41,12.35,12.41,16819.26,208050.68,12.38,direct,
2021-03-19 20:00:00,12.31,12.13,12.33,40984.89,503043.72,12.27,multiply,BTC
2021-03-19 21:00:00,12.34,12.28,12.29,21410.87,263911.26,12.31,direct,
2021-03-19 22:00:00,12.33,12.28,12.31,19645.28,241743.52,12.32,direct,
2021-03-19 23:00:00,12.33,12.24,12.32,12733.14,156052.37,12.26,direct,
2021-03-20 00:00:00,12.36,12.22,12.26,26407.01,325171.82,12.36,direct,
2021-03-20 01:00:00,12.5,12.34,12.36,24568.15,305491.91,12.46,direct,
2021-03-20 02:00:00,12.5,12.42,12.46,18411.78,229423.22,12.43,direct,
2021-03-20 03:00:00,12.51,12.42,12.43,12443.61,155056.17,12.51,direct,
2021-03-20 04:00:00,12.52,12.43,12.51,19775.42,246850.46,12.44,direct,
2021-03-20 05:00:00,12.44,12.37,12.44,13024.76,161558.04,12.39,direct,
2021-03-20 06:00:00,12.54,12.37,12.39,11741.36,146479.35,12.52,direct,
2021-03-20 07:00:00,12.54,12.49,12.52,33508.29,419416.17,12.53,direct,
2021-03-20 08:00:00,12.6,12.52,12.53,14283.23,179494.21,12.58,direct,
2021-03-20 09:00:00,12.66,12.58,12.58,16491.45,208328.53,12.61,direct,
2021-03-20 10:00:00,12.69,12.59,12.61,22136.84,279767.54,12.64,direct,
2021-03-20 11:00:00,12.74,12.6,12.64,17862.28,226325.51,12.71,direct,
2021-03-20 12:00:00,12.74,12.59,12.71,19795.03,250698.87,12.64,direct,
2021-03-20 13:00:00,12.75,12.54,12.64,35475.01,449839.76,12.56,direct,
2021-03-20 14:00:00,12.61,12.52,12.56,36629.52,459752.23,12.59,direct,
2021-03-20 15:00:00,12.66,12.59,12.59,16028.97,202255.09,12.6,direct,
2021-03-20 16:00:00,12.78,12.54,12.6,24126.83,305681.46,12.72,direct,
2021-03-20 17:00:00,12.84,12.72,12.72,43095.94,551596.41,12.83,direct,
2021-03-20 18:00:00,12.9,12.7,12.83,25143.51,322238.54,12.71,direct,
2021-03-20 19:00:00,12.76,12.68,12.71,13570.52,172816.12,12.75,direct,
2021-03-20 20:00:00,12.75,12.42,12.75,56459.03,708595.22,12.55,direct,
2021-03-20 21:00:00,12.58,12.54,12.55,9334.69,117238.15,12.56,direct,
2021-03-20 22:00:00,12.62,12.47,12.56,16284.73,204494.67,12.52,direct,
2021-03-20 23:00:00,12.52,12.28,12.52,44652.75,552561.06,12.34,direct,
2021-03-21 00:00:00,12.45,12.21,12.34,45997.33,565915.49,12.34,direct,
2021-03-21 01:00:00,12.43,12.29,12.34,18491.42,228383.61,12.35,direct,
2021-03-21 02:00:00,12.35,12.14,12.35,33629.39,410645.12,12.21,direct,
2021-03-21 03:00:00,12.32,12.19,12.21,7758.48,95229.43,12.32,direct,
2021-03-21 04:00:00,12.04,11.96,12.17,68774.66,827051.22,12.03,multiply,BTC
2021-03-21 05:00:00,12.25,12.13,12.13,11372.53,138918.94,12.24,direct,
2021-03-21 06:00:00,12.32,12.15,12.24,19770.62,242846.79,12.19,direct,
2021-03-21 07:00:00,12.25,12.16,12.19,8994.8,109908.04,12.2,direct,
2021-03-21 08:00:00,12.26,12.18,12.2,4078.61,49891.07,12.26,direct,
2021-03-21 09:00:00,12.27,11.94,12.26,49350.63,597520.74,12.09,direct,
2021-03-21 10:00:00,12.15,12.02,12.09,13666.95,165024.8,12.07,direct,
2021-03-21 11:00:00,12.09,11.99,12.07,12770.39,153764.44,12.08,direct,
