time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2016-01-09,0.0,0.0,0.0,0.0,0.0,0.0,direct,
2020-12-18,0.2917,0.1747,0.1757,37701707.4,9873875.55,0.2619,multiply,BTC
2020-12-19,0.6021,0.4002,0.5084,168942.47,83127.96,0.492,multiply,ETH
2020-12-20,1.149,0.458,0.492,1605830.55,1226677.08,0.7639,multiply,ETH
2020-12-21,0.7514,0.3671,0.7639,517923.82,253828.76,0.4901,multiply,ETH
2020-12-22,0.63,0.5026,0.5564,166606928.14,94150433.41,0.5454,direct,
2020-12-23,0.5818,0.3353,0.5454,311144973.1,147828199.39,0.4125,direct,
2020-12-24,0.4567,0.3551,0.4125,223976689.41,90022667.82,0.4102,direct,
2020-12-25,0.4209,0.3342,0.4102,157955590.95,59253817.77,0.3591,direct,
2020-12-26,0.4991,0.32,0.3591,349529078.44,145700268.61,0.4841,direct,
2020-12-27,0.496,0.3779,0.4841,267773392.18,114462797.59,0.396,direct,
2020-12-28,0.438,0.3746,0.396,191653341.68,78545455.22,0.38,direct,
2020-12-29,0.3859,0.3395,0.38,150697662.52,55194070.01,0.3726,direct,
2020-12-30,0.405,0.35,0.3726,124188667.48,46561688.61,0.3748,direct,
2020-12-31,0.3805,0.3415,0.3748,69474736.34,24831485.8,0.3512,direct,
2021-01-01,0.3795,0.3462,0.3512,80668554.5,29373203.25,0.3629,direct,
2021-01-02,0.3629,0.3108,0.3629,86929135.69,29450001.12,0.3272,direct,
2021-01-03,0.3374,0.282,0.3272,173791771.36,53764754.05,0.2982,direct,
2021-01-04,0.3548,0.2914,0.2982,166249455.02,53147309.71,0.309,direct,
2021-01-05,0.348,0.2853,0.309,155879290.99,49020869.48,0.3396,direct,
2021-01-06,0.3998,0.3155,0.3396,209018126.27,75330402.81,0.3708,direct,
2021-01-07,0.4159,0.328,0.3708,139367083.87,51680361.71,0.3459,direct,
2021-01-08,0.3515,0.3107,0.3459,124317457.31,41382260.66,0.3293,direct,
2021-01-09,0.3651,0.3171,0.3293,96790646.98,33347824.44,0.3493,direct,
2021-01-10,0.3788,0.308,0.3493,97482336.46,33479024.21,0.327,direct,
2021-01-11,0.3278,0.2327,0.327,131286812.75,36779556.2,0.2913,direct,
2021-01-12,0.31,0.2646,0.2913,61411351.08,17551427.67,0.2774,direct,
2021-01-13,0.3497,0.2671,0.2774,91290681.66,28676638.12,0.3247,direct,
2021-01-14,0.3616,0.3159,0.3247,98634393.84,33740274.36,0.3335,direct,
2021-01-15,0.392,0.311,0.3335,111514556.8,38952182.13,0.3379,direct,
2021-01-16,0.4781,0.3371,0.3379,216747587.88,90132242.07,0.4656,direct,
2021-01-17,0.575,0.4099,0.4656,249825346.97,123731647.15,0.5198,direct,
2021-01-18,0.6618,0.4956,0.5198,235307050.67,140044965.46,0.6185,direct,
2021-01-19,0.644,0.5252,0.6185,168409880.93,95260432.61,0.54,direct,
2021-01-20,0.5758,0.4768,0.54,114459176.62,60131561.18,0.5217,direct,
2021-01-21,0.5598,0.4343,0.5217,112904437.61,55435207.21,0.4356,direct,
2021-01-22,0.5565,0.3862,0.4356,148401765.47,71315555.53,0.5109,direct,
2021-01-23,0.5931,0.4892,0.5109,96979052.25,52621275.24,0.5848,direct,
2021-01-24,0.594,0.5181,0.5848,77144840.67,43016763.32,0.5564,direct,
2021-01-25,0.594,0.5258,0.5564,62102963.85,34865448.71,0.5299,direct,
2021-01-26,0.5509,0.4808,0.5299,55290963.61,28610195.45,0.5371,direct,
2021-01-27,0.5457,0.454,0.5371,58383737.36,29017644.03,0.4856,direct,
2021-01-28,0.5836,0.469,0.4856,77100665.78,41679085.98,0.5589,direct,
2021-01-29,0.66,0.5341,0.5589,141658529.85,82899599.91,0.5536,direct,
2021-01-30,0.6801,0.5522,0.5536,113365502.52,69641804.62,0.6367,direct,
2021-01-31,0.8718,0.602,0.6367,185080158.68,134866029.8,0.7947,direct,
2021-02-01,0.8892,0.7535,0.7947,126461751.1,102244855.3,0.7843,direct,
2021-02-02,0.8192,0.7254,0.7843,76508470.12,58505193.5,0.754,direct,
2021-02-03,0.8689,0.7261,0.754,74130388.6,58595703.55,0.8266,direct,
2021-02-04,0.8599,0.7693,0.8266,80903985.06,66388734.43,0.8168,direct,
2021-02-05,1.05,0.807,0.8168,126585305.09,117865819.67,0.9523,direct,
2021-02-06,0.9553,0.8339,0.9523,62494486.35,54878474.02,0.8677,direct,
2021-02-07,0.9598,0.7801,0.8677,74242676.61,65334661.99,0.9179,direct,
2021-02-08,1.045,0.9132,0.9179,75045562.58,73939668.6,0.967,direct,
2021-02-09,1.1,0.9428,0.967,48275736.76,48264814.63,1.053,direct,
2021-02-10,1.289,0.9912,1.053,135148725.64,153108297.33,1.27,direct,
2021-02-11,2.193,1.202,1.27,314982155.14,552016430.72,2.03,direct,
2021-02-12,2.802,1.914,2.03,174909600.1,421264937.45,2.248,direct,
2021-02-13,2.59,2.179,2.248,2740062.44,6522117.36,2.354,direct,
2021-02-14,2.413,1.9,2.354,2959533.08,6284781.79,2.163,direct,
2021-02-15,2.442,1.67,2.163,3104679.0,6318425.62,2.143,direct,
2021-02-16,2.275,2.021,2.143,1026831.85,2189144.42,2.073,direct,
2021-02-17,2.21,1.912,2.073,1169813.06,2403927.39,2.189,direct,
2021-02-18,2.349,2.132,2.189,988456.31,2214352.32,2.286,direct,
2021-02-19,2.328,2.107,2.286,782565.7,1706130.49,2.17,direct,
2021-02-20,2.66,2.088,2.17,2837755.12,6825112.28,2.296,direct,
2021-02-21,2.387,2.195,2.296,803185.52,1821558.03,2.299,direct,
2021-02-22,2.43,1.626,2.299,2955533.63,5963224.57,2.026,direct,
2021-02-23,2.026,1.31,2.026,5745877.85,9247470.82,1.702,direct,
2021-02-24,2.03,1.602,1.702,2699244.91,5092253.04,1.888,direct,
2021-02-25,1.998,1.697,1.888,1587415.07,2951945.89,1.697,direct,
2021-02-26,1.867,1.567,1.697,2476974.76,4181230.3,1.728,direct,
2021-02-27,1.814,1.639,1.728,573333.63,994032.5,1.684,direct,
2021-02-28,1.69,1.429,1.684,1826008.27,2813355.35,1.591,direct,
2021-03-01,1.929,1.591,1.591,1343932.45,2348507.63,1.921,direct,
2021-03-02,1.983,1.722,1.921,1731900.23,3266206.75,1.833,direct,
2021-03-03,2.084,1.8,1.833,1226487.16,2417129.7,1.954,direct,
2021-03-04,2.044,1.792,1.954,688365.61,1293644.52,1.869,direct,
2021-03-05,1.889,1.724,1.869,736288.55,1336748.65,1.824,direct,
2021-03-06,1.86,1.751,1.824,470457.39,844822.55,1.794,direct,
2021-03-07,2.025,1.866,1.798,888414.89,1670196.33,1.88,multiply,ETH
2021-03-08,1.928,1.805,1.878,588776.42,1098979.35,1.906,direct,
2021-03-09,2.223,1.874,1.906,1356870.01,2805080.14,2.132,direct,
