time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2015-12-16,2.293,2.238,2.281,30.0,68.78,2.293,multiply,BTC
2015-12-17,2.187,2.187,2.293,51.51,112.63,2.187,multiply,BTC
2015-12-19,2.583,2.214,2.223,787.34,1877.34,2.384,multiply,BTC
2015-12-20,2.518,2.053,2.384,249.98,513.31,2.053,multiply,BTC
2015-12-21,2.472,2.034,2.053,175.85,359.67,2.045,multiply,BTC
2015-12-22,2.491,1.987,2.045,187.41,372.42,1.987,multiply,BTC
2015-12-23,2.181,1.77,1.987,379.95,828.57,2.181,multiply,BTC
2015-12-24,2.283,2.066,2.181,227.63,505.25,2.22,multiply,BTC
2015-12-25,2.506,2.356,2.22,272.74,683.58,2.506,multiply,BTC
2015-12-26,2.359,2.293,2.506,62.58,147.65,2.359,multiply,BTC
2015-12-28,2.396,1.936,2.399,359.37,842.11,2.343,multiply,BTC
2015-12-29,2.4,1.97,2.343,151.41,298.21,1.97,multiply,BTC
2015-12-30,2.153,1.948,1.97,103.4,216.42,2.093,multiply,BTC
2015-12-31,2.187,2.107,2.093,53.79,117.25,2.18,multiply,BTC
2016-01-01,2.2,1.996,2.18,628.2,1363.16,2.17,multiply,BTC
2016-01-02,2.212,1.735,2.17,67.51,149.33,2.212,multiply,BTC
2016-01-03,2.197,1.865,2.212,177.17,366.27,2.067,multiply,BTC
2016-01-04,2.383,2.08,2.067,188.66,449.63,2.383,multiply,BTC
2016-01-05,2.449,2.009,2.383,363.06,729.53,2.009,multiply,BTC
2016-01-06,2.118,1.946,2.009,191.66,391.39,2.042,multiply,BTC
2016-01-07,2.269,1.97,2.042,468.67,923.23,1.97,multiply,BTC
2016-01-08,2.396,1.952,1.97,120.02,287.53,2.396,multiply,BTC
2016-01-09,2.372,2.168,2.396,405.98,880.36,2.168,multiply,BTC
2016-01-10,2.316,2.158,2.168,106.71,243.35,2.28,multiply,BTC
2016-01-11,2.308,2.288,2.28,38.64,89.16,2.308,multiply,BTC
2016-01-12,2.358,2.047,2.308,145.79,343.75,2.358,multiply,BTC
2016-01-13,2.29,2.289,2.358,135.28,309.75,2.29,multiply,BTC
2016-01-14,0.0,0.0,0.0,0.0,0.0,0.0,direct,
2016-01-15,1.972,1.971,2.274,358.31,706.54,1.972,multiply,BTC
2016-01-16,2.04,2.039,1.972,341.15,695.79,2.04,multiply,BTC
2016-01-17,2.027,2.026,2.04,33.0,66.84,2.026,multiply,BTC
2016-01-18,2.073,2.036,2.026,223.4,456.85,2.045,multiply,BTC
2016-01-19,2.163,2.019,2.045,373.32,807.46,2.163,multiply,BTC
2016-01-20,2.446,2.193,2.163,556.45,1361.09,2.446,multiply,BTC
2016-01-21,2.42,2.42,2.446,124.79,302.04,2.42,multiply,BTC
2016-01-22,2.241,2.241,2.42,10.36,23.21,2.241,multiply,BTC
2016-01-24,2.373,2.258,2.276,41.0,92.59,2.258,multiply,BTC
2016-01-25,2.306,2.16,2.258,102.0,220.34,2.16,multiply,BTC
2016-01-26,2.378,2.144,2.16,803.88,1880.02,2.339,multiply,BTC
2016-01-27,2.844,2.255,2.339,1484.89,4223.24,2.844,multiply,BTC
2016-01-28,2.734,2.377,2.844,444.88,1182.42,2.658,multiply,BTC
2016-01-29,2.662,2.282,2.658,817.9,2116.62,2.588,multiply,BTC
2016-01-30,2.795,2.218,2.588,760.31,1803.71,2.372,multiply,BTC
2016-01-31,2.367,1.749,2.372,223.81,480.09,2.145,multiply,BTC
2016-02-01,2.62,1.707,2.145,859.25,2028.46,2.361,multiply,BTC
2016-02-02,2.58,2.169,2.361,419.81,941.85,2.244,multiply,BTC
2016-02-03,2.576,1.656,2.244,937.06,2313.99,2.469,multiply,BTC
2016-02-04,2.785,2.225,2.469,368.9,922.31,2.5,multiply,BTC
2016-02-05,2.878,2.435,2.5,364.54,1048.15,2.875,multiply,BTC
2016-02-06,2.806,2.798,2.875,355.27,995.64,2.802,multiply,BTC
2016-02-07,2.814,2.808,2.802,144.23,405.72,2.813,multiply,BTC
2016-02-08,2.795,2.765,2.813,758.97,2106.97,2.776,multiply,BTC
2016-02-09,2.815,2.796,2.776,277.49,779.65,2.81,multiply,BTC
2016-02-10,343.69,2.826,2.81,404.18,138913.43,343.69,multiply,BTC
2016-02-11,341.51,3.036,343.69,664.07,2116.64,3.187,multiply,BTC
2016-02-12,3.806,3.034,3.187,2987.2,10565.75,3.537,multiply,BTC
2016-02-13,3.745,3.263,3.537,1286.91,4817.92,3.744,multiply,BTC
2016-02-14,3.893,3.394,3.744,541.22,1865.45,3.447,multiply,BTC
2016-02-15,3.975,3.409,3.447,4311.08,16235.73,3.766,multiply,BTC
2016-02-16,4.056,3.816,3.766,1048.21,4062.89,3.876,multiply,BTC
2016-02-17,4.255,3.934,3.876,1455.46,6053.09,4.159,multiply,BTC
2016-02-18,4.34,3.847,4.159,708.13,2894.54,4.088,multiply,BTC
2016-02-19,4.263,3.864,4.088,1095.93,4506.03,4.112,multiply,BTC
2016-02-20,4.401,4.185,4.112,1030.4,4489.03,4.357,multiply,BTC
2016-02-21,4.379,3.985,4.357,1232.01,5227.37,4.243,multiply,BTC
2016-02-22,4.378,3.283,4.243,816.49,3574.51,4.378,multiply,BTC
2016-02-23,4.262,4.199,4.378,744.14,3152.77,4.237,multiply,BTC
2016-02-24,4.777,3.602,4.237,2385.12,11282.18,4.73,multiply,BTC
2016-02-25,4.912,4.235,4.73,2978.1,12611.66,4.235,multiply,BTC
2016-02-26,4.957,4.23,4.235,870.21,4202.0,4.829,multiply,BTC
2016-02-27,5.003,4.382,4.829,892.92,3912.78,4.382,multiply,BTC
2016-02-29,5.143,4.432,4.394,1012.19,4945.11,4.886,multiply,BTC
2016-03-01,5.208,4.861,4.886,2487.97,12958.54,5.208,multiply,BTC
2016-03-02,189.24,5.049,5.208,4323.47,31263.53,7.231,multiply,BTC
2016-03-03,7.972,6.0,7.231,7129.83,56836.44,7.972,multiply,BTC
