time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-03-16 04:00:00,29.19,28.92,29.0,8011.3,232535.19,29.03,multiply,BTC
2021-03-16 05:00:00,28.92,28.51,29.03,7168.02,204428.0,28.52,multiply,BTC
2021-03-16 06:00:00,30.1,28.93,28.52,20361.55,597775.43,29.36,multiply,BTC
2021-03-16 07:00:00,29.46,29.01,29.36,20958.16,611677.66,29.19,multiply,BTC
2021-03-16 08:00:00,29.59,29.33,29.19,11067.96,325796.03,29.44,multiply,BTC
2021-03-16 09:00:00,30.11,29.42,29.44,15618.58,462831.17,29.63,multiply,BTC
2021-03-16 10:00:00,29.62,28.98,29.63,22108.53,643268.17,29.1,multiply,BTC
2021-03-16 11:00:00,29.21,28.82,29.1,11036.64,320151.82,29.01,multiply,BTC
2021-03-16 12:00:00,29.34,28.79,29.01,10509.13,303846.44,28.91,multiply,BTC
2021-03-16 13:00:00,29.22,28.78,28.91,8523.21,248846.68,29.2,multiply,BTC
2021-03-16 14:00:00,29.48,29.2,29.2,6119.96,180094.11,29.43,multiply,BTC
2021-03-16 15:00:00,30.44,29.38,29.43,10136.39,304907.76,30.08,multiply,BTC
2021-03-16 16:00:00,30.38,29.59,30.08,11572.33,351264.16,30.35,multiply,BTC
2021-03-16 17:00:00,30.15,29.37,30.35,8699.04,255599.8,29.38,multiply,BTC
2021-03-16 18:00:00,29.49,29.32,29.38,9470.57,278058.88,29.36,multiply,BTC
2021-03-16 19:00:00,29.86,29.59,29.36,8837.93,263918.29,29.86,multiply,BTC
2021-03-16 20:00:00,30.24,30.04,29.86,9984.64,301244.36,30.17,multiply,BTC
2021-03-16 21:00:00,30.5,30.06,30.17,9072.85,276717.75,30.5,multiply,BTC
2021-03-16 22:00:00,30.55,29.98,30.5,21379.12,651743.08,30.49,multiply,BTC
2021-03-16 23:00:00,31.01,30.24,30.49,24852.77,752078.01,30.26,multiply,BTC
2021-03-17 00:00:00,30.66,29.96,30.26,38093.11,1149770.56,30.18,multiply,BTC
2021-03-17 01:00:00,30.44,30.04,30.18,27015.03,821897.51,30.42,multiply,BTC
