time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2015-12-16,0.001966,0.001857,0.001892,40468.4,75.14,0.001857,multiply,BTC
2015-12-17,0.001863,0.001863,0.001857,300.0,0.5589,0.001863,multiply,BTC
2015-12-18,0.002006,0.001931,0.001863,694.25,1.392,0.002006,multiply,BTC
2015-12-19,0.001891,0.001734,0.002006,8905.0,15.44,0.001734,multiply,BTC
2015-12-20,0.0019,0.001816,0.001734,40973.49,77.84,0.0019,multiply,BTC
2015-12-21,0.001707,0.001707,0.0019,656.42,1.12,0.001707,multiply,BTC
2015-12-22,0.001713,0.001704,0.001707,1244.0,2.131,0.001713,multiply,BTC
2015-12-23,0.001827,0.001734,0.001713,535.52,0.9762,0.001823,multiply,BTC
2015-12-24,0.001839,0.001667,0.001823,1726.26,2.878,0.001667,multiply,BTC
2015-12-25,0.001853,0.001834,0.001667,179.0,0.3316,0.001853,multiply,BTC
2015-12-28,0.002109,4.22e-06,0.001723,331948.52,700.01,0.002109,multiply,BTC
2015-12-29,0.001836,0.001788,0.002109,2289.37,4.163,0.001818,multiply,BTC
2015-12-30,0.001862,0.001764,0.001818,4918.99,9.161,0.001862,multiply,BTC
2015-12-31,0.001754,0.00129,0.001862,104328.62,172.25,0.001651,multiply,BTC
2016-01-01,0.001693,0.001675,0.001651,6000.0,10.05,0.001675,multiply,BTC
2016-01-02,0.001826,0.001648,0.001675,5514.0,9.997,0.001813,multiply,BTC
2016-01-03,0.001723,0.001628,0.001813,57950.48,99.84,0.001723,multiply,BTC
2016-01-05,0.00172,0.001686,0.001733,500.0,0.843,0.001686,multiply,BTC
2016-01-06,0.001676,0.001327,0.001686,7253.65,9.625,0.001327,multiply,BTC
2016-01-07,0.001764,0.001417,0.001327,4807.3,8.481,0.001764,multiply,BTC
2016-01-09,0.001726,0.001717,0.001748,8645.15,14.92,0.001726,multiply,BTC
2016-01-10,0.001771,0.001771,0.001726,500.0,0.8857,0.001771,multiply,BTC
2016-01-11,0.001777,0.001607,0.001771,37737.27,66.91,0.001773,multiply,BTC
2016-01-12,0.0,0.0,0.0,0.0,0.0,0.0,direct,
2016-01-13,0.001729,0.001711,0.001762,133131.57,230.15,0.001729,multiply,BTC
2016-01-14,0.00236,0.001717,0.001729,60797.34,128.88,0.00212,multiply,BTC
2016-01-15,0.001839,0.001496,0.00212,120412.74,186.02,0.001545,multiply,BTC
2016-01-16,0.001706,0.001598,0.001545,62234.18,100.4,0.001613,multiply,BTC
2016-01-17,0.002869,0.001423,0.001613,134453.41,375.91,0.002796,multiply,BTC
2016-01-18,0.00281,0.001634,0.002796,515483.06,1038.31,0.002014,multiply,BTC
2016-01-19,0.001764,0.001427,0.002014,234497.21,413.77,0.001764,multiply,BTC
2016-01-20,0.002027,0.00158,0.001764,68687.45,115.33,0.001679,multiply,BTC
2016-01-21,0.002006,0.001674,0.001679,39590.51,79.42,0.002006,multiply,BTC
2016-01-22,0.001642,0.001622,0.002006,2748.58,4.491,0.001634,multiply,BTC
2016-01-23,0.001648,0.00164,0.001634,9419.36,15.45,0.00164,multiply,BTC
2016-01-24,0.002618,0.001613,0.00164,123696.6,205.93,0.001665,multiply,BTC
2016-01-25,0.001724,0.001555,0.001665,36014.27,58.56,0.001626,multiply,BTC
2016-01-26,0.00182,0.00161,0.001626,346831.76,616.46,0.001777,multiply,BTC
2016-01-27,0.001975,0.001722,0.001777,197649.31,368.52,0.001864,multiply,BTC
2016-01-28,0.001906,0.001773,0.001864,25356.05,44.96,0.001773,multiply,BTC
2016-01-29,0.001898,0.001822,0.001773,91358.14,166.42,0.001822,multiply,BTC
2016-01-30,0.001832,0.001681,0.001822,13899.3,23.37,0.001681,multiply,BTC
2016-02-01,0.001708,0.001656,0.001646,17792.89,29.47,0.001656,multiply,BTC
2016-02-02,0.00175,0.00175,0.001656,475.91,0.8328,0.00175,multiply,BTC
2016-02-04,0.001828,0.001688,0.001722,42295.0,77.33,0.001828,multiply,BTC
2016-02-05,0.001836,0.001809,0.001828,3252.62,5.895,0.001812,multiply,BTC
2016-02-06,0.001627,0.001627,0.001812,345.17,0.5617,0.001627,multiply,BTC
2016-02-07,0.001727,0.001716,0.001627,478.11,0.8258,0.001727,multiply,BTC
2016-02-08,0.001703,0.001703,0.001727,233.4,0.3975,0.001703,multiply,BTC
2016-02-09,0.00188,0.001633,0.001703,45905.89,85.8,0.001869,multiply,BTC
2016-02-10,0.001776,0.001661,0.001869,23756.75,39.46,0.001661,multiply,BTC
2016-02-12,0.002684,0.001878,0.001651,226911.17,523.73,0.002308,multiply,BTC
2016-02-13,0.002348,0.002146,0.002308,121863.4,284.76,0.002337,multiply,BTC
2016-02-14,0.002421,0.002105,0.002337,37348.77,78.6,0.002105,multiply,BTC
2016-02-15,0.002302,0.001929,0.002105,49292.08,107.35,0.002178,multiply,BTC
2016-02-16,0.002719,0.002272,0.002178,123377.82,293.34,0.002378,multiply,BTC
2016-02-17,0.00292,0.001752,0.002378,545698.29,1286.12,0.002357,multiply,BTC
2016-02-18,0.002444,0.002217,0.002357,18048.86,41.38,0.002292,multiply,BTC
2016-02-19,0.002222,0.002037,0.002292,107990.19,219.97,0.002037,multiply,BTC
2016-02-20,0.002464,0.002156,0.002037,34048.5,73.42,0.002156,multiply,BTC
2016-02-21,0.00222,0.002124,0.002156,23634.39,52.47,0.00222,multiply,BTC
2016-02-22,0.00215,0.002036,0.00222,60896.2,123.97,0.002036,multiply,BTC
2016-02-23,0.002708,0.001604,0.002036,494776.79,893.35,0.001806,multiply,BTC
2016-02-24,0.001911,0.001818,0.001806,9010.61,16.38,0.001818,multiply,BTC
2016-02-25,0.002723,0.00166,0.001818,320161.54,812.14,0.002537,multiply,BTC
2016-02-26,0.002107,0.001872,0.002537,9757.9,18.26,0.001872,multiply,BTC
2016-02-27,0.002696,0.00179,0.001872,707181.83,1482.34,0.002096,multiply,BTC
2016-02-28,0.002102,0.001886,0.002096,55225.76,104.37,0.00189,multiply,BTC
2016-02-29,0.00253,0.001767,0.00189,736429.73,1525.88,0.002072,multiply,BTC
2016-03-01,0.002439,0.001775,0.002072,561061.31,1076.37,0.001918,multiply,BTC
2016-03-02,0.001884,0.001829,0.001918,20453.37,37.41,0.001829,multiply,BTC
2016-03-03,0.001825,0.0018,0.001829,29257.17,53.4,0.001825,multiply,BTC
2016-03-04,0.001822,0.001781,0.001825,129519.81,236.01,0.001822,multiply,BTC
2016-03-05,0.001855,0.001696,0.001822,37027.63,68.7,0.001855,multiply,BTC
2016-03-06,0.00188,0.00175,0.001855,15052.08,26.34,0.00175,multiply,BTC
2016-03-07,0.002987,0.001788,0.00175,524329.79,1215.99,0.002319,multiply,BTC
2016-03-08,0.002348,0.002064,0.002319,216590.8,491.57,0.00227,multiply,BTC
2016-03-09,0.002303,0.0022,0.00227,150363.75,337.01,0.002241,multiply,BTC
2016-03-10,0.002449,0.002279,0.002241,109570.49,268.36,0.002449,multiply,BTC
2016-03-11,0.003013,0.00236,0.002449,337315.7,876.51,0.002598,multiply,BTC
2016-03-12,0.002803,0.002265,0.002598,102980.45,253.55,0.002462,multiply,BTC
2016-03-13,0.002479,0.002272,0.002462,44020.36,100.76,0.002289,multiply,BTC
2016-03-14,0.002403,0.002208,0.002289,83761.03,188.09,0.002246,multiply,BTC
2016-03-15,0.00225,0.002076,0.002246,81055.65,168.24,0.002076,multiply,BTC
2016-03-16,0.00215,0.00203,0.002076,11752.17,25.27,0.00215,multiply,BTC
2016-03-17,0.002501,0.002062,0.00215,50680.56,105.96,0.002091,multiply,BTC
2016-03-18,0.002147,0.002,0.002091,14141.03,29.15,0.002061,multiply,BTC
2016-03-19,0.00206,0.001022,0.002061,2370788.35,4844.59,0.002043,multiply,BTC
2016-03-20,0.002115,0.002058,0.002043,560623.22,1174.33,0.002095,multiply,BTC
2016-03-21,0.002204,0.002056,0.002095,28792.19,61.31,0.00213,multiply,BTC
2016-03-22,0.002156,0.001944,0.00213,31507.49,61.63,0.001956,multiply,BTC
2016-03-23,0.002022,0.001968,0.001956,43472.87,87.19,0.002006,multiply,BTC
2016-03-24,0.002057,0.001937,0.002006,28260.57,57.78,0.002045,multiply,BTC
2016-03-25,0.00212,0.002037,0.002045,69940.32,147.7,0.002112,multiply,BTC
2016-03-26,0.002124,0.002074,0.002112,6021.19,12.79,0.002124,multiply,BTC
2016-03-27,0.002178,0.001851,0.002124,222259.59,411.43,0.001851,multiply,BTC
2016-03-28,0.002436,0.001841,0.001851,111018.0,233.9,0.002107,multiply,BTC
2016-03-29,0.002079,0.002033,0.002107,28499.24,57.95,0.002033,multiply,BTC
2016-03-30,0.002033,0.002021,0.002033,1609.12,3.252,0.002021,multiply,BTC
2016-03-31,0.002024,0.001812,0.002021,37611.02,68.16,0.001812,multiply,BTC
2016-04-01,0.002028,0.001945,0.001812,11378.52,23.08,0.002028,multiply,BTC
2016-04-02,0.002072,0.00203,0.002028,5715.57,11.84,0.002072,multiply,BTC
2016-04-03,0.002452,0.00197,0.002072,162795.24,349.29,0.002146,multiply,BTC
2016-04-04,0.002868,0.002118,0.002146,740842.19,1860.84,0.002512,multiply,BTC
2016-04-05,0.002528,0.002051,0.002512,466278.73,956.46,0.002051,multiply,BTC
2016-04-06,0.002169,0.002098,0.002051,32134.45,69.72,0.002169,multiply,BTC
2016-04-07,0.002252,0.002147,0.002169,184076.88,395.97,0.002151,multiply,BTC
2016-04-08,0.002185,0.002105,0.002151,36616.25,77.39,0.002114,multiply,BTC
2016-04-09,0.00214,0.001965,0.002114,92825.1,182.39,0.001965,multiply,BTC
2016-04-10,0.002219,0.001681,0.001965,1061846.97,1820.66,0.001715,multiply,BTC
2016-04-11,0.002111,0.001922,0.001715,114482.39,241.23,0.002107,multiply,BTC
2016-04-12,0.001924,0.001784,0.002107,123992.98,225.93,0.001822,multiply,BTC
2016-04-13,0.001863,0.001791,0.001822,19780.17,36.35,0.001838,multiply,BTC
2016-04-14,0.001887,0.001853,0.001838,20095.22,37.83,0.001883,multiply,BTC
2016-04-15,0.001925,0.001869,0.001883,71996.63,134.56,0.001869,multiply,BTC
2016-04-16,0.001897,0.001823,0.001869,44718.25,84.62,0.001892,multiply,BTC
2016-04-17,0.001893,0.001876,0.001892,4897.52,9.186,0.001876,multiply,BTC
