time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2015-12-16,0.006,0.00425,0.00425,115800.05,718.3,0.006,direct,
2015-12-17,0.0058,0.0056,0.0058,1556.55,10.45,0.0056,direct,
2015-12-18,0.00559,0.0049,0.00559,5739.11,36.91,0.0054,direct,
2015-12-19,0.006448,0.006102,0.006225,3779879.65,23133.33,0.00612,multiply,BTC
2015-12-20,0.005,0.0049,0.005,14285.71,88.0,0.0049,direct,
2015-12-21,0.005108,0.0048,0.005,10630.66,63.53,0.005108,direct,
2015-12-22,0.0056,0.004716,0.005108,718.98,4.376,0.0056,direct,
2015-12-23,0.0056,0.005041,0.005194,10000.0,58.8,0.0056,direct,
2015-12-24,0.006142,0.005857,0.005858,1953837.46,11638.4,0.005957,multiply,BTC
2015-12-25,0.006694,0.00588,0.00588,1730.59,10.83,0.006694,direct,
2015-12-26,0.0058,0.005,0.0057,5000.0,32.0,0.0058,direct,
2015-12-27,0.006517,0.006074,0.006106,4279471.22,27294.85,0.006378,multiply,BTC
2015-12-28,0.0051,0.0049,0.0051,1743.87,10.98,0.0049,direct,
2015-12-29,0.006574,0.005986,0.00628,4279272.25,25857.76,0.006043,multiply,BTC
2015-12-30,0.00535,0.005162,0.005255,9640.06,59.02,0.00535,direct,
2015-12-31,0.00535,0.0051,0.00535,200.0,1.2,0.005205,direct,
2016-01-01,0.006032,0.005885,0.005916,687065.2,4049.28,0.005894,multiply,BTC
2016-01-02,0.005132,0.005,0.005132,500.0,3.063,0.005125,direct,
2016-01-03,0.006107,0.005922,0.006102,1351619.75,8004.46,0.005922,multiply,BTC
2016-01-04,0.006092,0.005915,0.005922,1127090.29,6720.26,0.005962,multiply,BTC
2016-01-05,0.00608,0.00586,0.005962,1490024.97,8962.86,0.006015,multiply,BTC
2016-01-06,0.0055,0.005,0.005,2146.76,13.1,0.005,direct,
2016-01-07,0.00564,0.005,0.005,13736.8,82.0,0.005,direct,
2016-01-08,0.0056,0.005,0.005,11732.81,69.06,0.005,direct,
2016-01-09,0.006474,0.005806,0.005819,3874893.79,23017.29,0.00594,multiply,BTC
2016-01-10,0.006059,0.005872,0.00594,1417126.26,8390.72,0.005921,multiply,BTC
2016-01-11,0.005964,0.005807,0.005921,562784.9,3305.85,0.005874,multiply,BTC
2016-01-12,0.005955,0.005732,0.005874,1903458.06,11063.32,0.005812,multiply,BTC
2016-01-13,0.005882,0.005592,0.005812,2151614.11,12320.97,0.005726,multiply,BTC
2016-01-14,0.00505,0.00401,0.00505,865.61,4.823,0.00479,direct,
2016-01-15,0.00505,0.00479,0.00479,23969.9,127.5,0.00505,direct,
2016-01-16,0.005134,0.004653,0.005134,3095.7,15.17,0.004892,direct,
2016-01-17,0.004917,0.004889,0.004892,644.99,3.158,0.004917,direct,
2016-01-18,0.005505,0.005182,0.00527,2003726.11,10482.86,0.005232,multiply,BTC
2016-01-19,0.00528,0.00511,0.00511,961.59,5.056,0.005245,direct,
2016-01-20,0.005433,0.005245,0.005245,16998.67,89.16,0.005433,direct,
2016-01-21,0.005616,0.005241,0.005433,4003.86,22.29,0.005241,direct,
2016-01-22,0.005241,0.00499,0.005241,2808.94,14.61,0.005231,direct,
2016-01-23,0.005233,0.00512,0.005231,13448.99,69.14,0.00512,direct,
2016-01-24,0.005197,0.00499,0.00512,6947.04,35.58,0.005122,direct,
2016-01-25,0.005122,0.0051,0.005122,15249.12,78.1,0.0051,direct,
2016-01-26,0.005653,0.005,0.0051,27468.66,148.66,0.005653,direct,
2016-01-27,0.006952,0.005653,0.005653,147089.45,939.14,0.006511,direct,
2016-01-28,0.006847,0.005766,0.006511,669.33,3.887,0.005795,direct,
2016-01-29,0.00785,0.005795,0.005795,5033.24,33.37,0.00692,direct,
2016-01-30,0.00785,0.006205,0.00692,20518.35,156.65,0.00633,direct,
2016-01-31,0.0066,0.005784,0.00633,18271.24,106.16,0.006154,direct,
2016-02-01,0.006697,0.0053,0.006154,5830.56,37.26,0.006697,direct,
2016-02-02,0.006989,0.006472,0.006697,287.57,2.009,0.006989,direct,
2016-02-03,0.006989,0.006623,0.006989,255.02,1.763,0.006623,direct,
2016-02-04,0.007254,0.006743,0.006838,8582563.15,59042.43,0.006879,multiply,BTC
2016-02-05,0.0079,0.006586,0.006633,788.37,5.434,0.0079,direct,
2016-02-06,0.008,0.0079,0.0079,6979.98,55.64,0.008,direct,
2016-02-07,0.009086,0.007644,0.008,27910.12,239.26,0.007644,direct,
2016-02-08,0.008122,0.008122,0.008122,82614.61,671.0,0.008122,direct,
2016-02-09,0.1,0.007361,0.008122,23420.35,202.1,0.007361,direct,
2016-02-10,0.008191,0.007361,0.007361,603978.0,4539.86,0.007388,direct,
2016-02-11,0.008191,0.007359,0.007388,161863.68,1215.72,0.008191,direct,
2016-02-12,0.008204,0.006386,0.008191,115058.72,897.74,0.00794,direct,
2016-02-13,0.00845,0.00766,0.00794,61537.79,508.82,0.00844,direct,
2016-02-14,0.008991,0.008202,0.00844,145822.63,1231.21,0.00821,direct,
2016-02-15,0.0088,0.00821,0.00821,46128.55,385.56,0.00835,direct,
2016-02-16,0.00875,0.00811,0.00835,65433.19,541.05,0.00811,direct,
