time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-06-03 05:03:00,1.78,1.779,1.779,76217.77,135613.67,1.78,direct,
2021-06-03 05:04:00,1.781,1.778,1.78,91989.38,163736.62,1.78,direct,
2021-06-03 05:05:00,1.781,1.778,1.78,7741.57,13766.67,1.778,direct,
2021-06-03 05:06:00,1.779,1.778,1.778,3122.71,5556.3,1.779,direct,
2021-06-03 05:07:00,1.784,1.779,1.779,41904.12,74688.23,1.784,direct,
2021-06-03 05:08:00,1.785,1.783,1.784,17926.7,31982.34,1.784,direct,
2021-06-03 05:09:00,1.787,1.784,1.784,85949.29,153429.81,1.785,direct,
2021-06-03 05:10:00,1.788,1.785,1.785,52001.84,92908.86,1.788,direct,
2021-06-03 05:11:00,1.788,1.786,1.788,40610.37,72595.81,1.788,direct,
2021-06-03 05:12:00,1.788,1.784,1.788,83188.78,148667.33,1.784,direct,
2021-06-03 05:13:00,1.785,1.781,1.784,21305.02,37973.11,1.783,direct,
2021-06-03 05:14:00,1.785,1.783,1.783,12443.55,22199.95,1.785,direct,
2021-06-03 05:15:00,1.787,1.784,1.785,23584.27,42134.32,1.787,direct,
2021-06-03 05:16:00,1.788,1.787,1.787,8831.26,15792.39,1.788,direct,
2021-06-03 05:17:00,1.788,1.786,1.788,30326.61,54190.55,1.787,direct,
2021-06-03 05:18:00,1.787,1.784,1.787,71360.07,127472.04,1.785,direct,
2021-06-03 05:19:00,1.786,1.784,1.785,13749.76,24545.69,1.785,direct,
2021-06-03 05:20:00,1.785,1.78,1.785,54428.2,96935.16,1.781,direct,
2021-06-03 05:21:00,1.783,1.781,1.781,25192.96,44898.45,1.782,direct,
2021-06-03 05:22:00,1.782,1.78,1.782,20302.26,36172.05,1.782,direct,
2021-06-03 05:23:00,1.782,1.781,1.782,32729.06,58303.21,1.781,direct,
2021-06-03 05:24:00,1.783,1.781,1.781,32120.22,57239.15,1.783,direct,
2021-06-03 05:25:00,1.783,1.78,1.783,64612.62,115055.32,1.781,direct,
2021-06-03 05:26:00,1.782,1.781,1.781,10184.17,18137.26,1.782,direct,
2021-06-03 05:27:00,1.782,1.781,1.782,8955.75,15946.45,1.781,direct,
2021-06-03 05:28:00,1.781,1.78,1.781,48760.33,86742.13,1.78,direct,
2021-06-03 05:29:00,1.781,1.779,1.78,46986.71,83595.35,1.779,direct,
2021-06-03 05:30:00,1.779,1.774,1.779,57991.51,102961.11,1.774,direct,
2021-06-03 05:31:00,1.777,1.773,1.774,12077.22,21433.36,1.776,direct,
2021-06-03 05:32:00,1.778,1.776,1.776,51159.6,90910.72,1.778,direct,
2021-06-03 05:33:00,1.778,1.776,1.778,92208.82,163932.33,1.776,direct,
2021-06-03 05:34:00,1.777,1.775,1.776,844.4,1499.07,1.776,direct,
2021-06-03 05:35:00,1.777,1.776,1.776,19131.9,33967.4,1.777,direct,
2021-06-03 05:36:00,1.78,1.774,1.777,74843.52,132841.52,1.78,direct,
2021-06-03 05:37:00,1.78,1.779,1.78,45879.64,81620.99,1.78,direct,
2021-06-03 05:38:00,1.786,1.779,1.78,98618.36,175681.8,1.784,direct,
2021-06-03 05:39:00,1.785,1.783,1.784,45598.23,81297.86,1.785,direct,
2021-06-03 05:40:00,1.786,1.785,1.785,6303.29,11249.15,1.785,direct,
2021-06-03 05:41:00,1.788,1.785,1.785,99287.07,177530.75,1.788,direct,
2021-06-03 05:42:00,1.789,1.787,1.788,20187.94,36108.0,1.788,direct,
2021-06-03 05:43:00,1.789,1.787,1.788,83766.55,150087.96,1.787,direct,
2021-06-03 05:44:00,1.79,1.787,1.787,55592.08,99425.67,1.79,direct,
2021-06-03 05:45:00,1.791,1.789,1.79,56165.08,100552.91,1.79,direct,
2021-06-03 05:46:00,1.791,1.788,1.79,74233.31,132837.78,1.789,direct,
2021-06-03 05:47:00,1.791,1.789,1.789,23767.5,42533.95,1.79,direct,
2021-06-03 05:48:00,1.791,1.789,1.79,33354.73,59686.3,1.79,direct,
2021-06-03 05:49:00,1.791,1.786,1.79,72173.31,129119.46,1.789,direct,
2021-06-03 05:50:00,1.791,1.788,1.789,22873.3,40955.26,1.79,direct,
2021-06-03 05:51:00,1.791,1.789,1.79,8222.36,14714.78,1.79,direct,
2021-06-03 05:52:00,1.791,1.79,1.79,11656.68,20848.07,1.79,direct,
2021-06-03 05:53:00,1.791,1.79,1.79,5886.07,10545.82,1.791,direct,
2021-06-03 05:54:00,1.791,1.789,1.791,145381.52,260418.61,1.789,direct,
2021-06-03 05:55:00,1.791,1.789,1.789,2692.72,4821.07,1.791,direct,
2021-06-03 05:56:00,1.793,1.791,1.791,42595.49,76337.75,1.792,direct,
2021-06-03 05:57:00,1.793,1.791,1.792,23325.82,41806.35,1.793,direct,
2021-06-03 05:58:00,1.794,1.792,1.793,37282.28,66969.5,1.794,direct,
2021-06-03 05:59:00,1.794,1.793,1.794,86072.33,154366.84,1.794,direct,
2021-06-03 06:00:00,1.795,1.794,1.794,29576.78,53060.76,1.795,direct,
2021-06-03 06:01:00,1.795,1.792,1.795,61041.3,109446.64,1.793,direct,
2021-06-03 06:02:00,1.793,1.789,1.793,59726.47,106866.25,1.79,direct,
2021-06-03 06:03:00,1.79,1.786,1.79,35796.6,64019.58,1.786,direct,
2021-06-03 06:04:00,1.788,1.783,1.786,17061.61,30452.5,1.784,direct,
2021-06-03 06:05:00,1.787,1.784,1.784,21140.4,37755.26,1.786,direct,
2021-06-03 06:06:00,1.787,1.786,1.786,22568.16,40315.56,1.787,direct,
2021-06-03 06:07:00,1.788,1.787,1.787,70938.41,126772.61,1.788,direct,
