time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-06-03 05:04:00,68.84,68.78,68.78,171.42,11803.54,68.84,direct,
2021-06-03 05:05:00,68.87,68.84,68.84,930.89,64085.7,68.87,direct,
2021-06-03 05:06:00,68.4,68.28,68.28,390.1,26652.46,68.32,multiply,BTC
2021-06-03 05:07:00,68.64,68.33,68.32,1205.02,82343.62,68.33,multiply,BTC
2021-06-03 05:08:00,68.31,68.23,68.33,381.79,26050.45,68.23,multiply,BTC
2021-06-03 05:09:00,69.02,68.94,68.94,987.15,68081.35,68.97,multiply,ETH
2021-06-03 05:10:00,68.47,68.43,68.39,336.04,23008.31,68.47,multiply,BTC
2021-06-03 05:11:00,69.13,69.02,69.07,363.61,25073.38,69.02,direct,
2021-06-03 05:12:00,68.43,68.31,68.43,350.95,24001.36,68.39,multiply,BTC
2021-06-03 05:13:00,68.45,68.41,68.39,1623.63,111138.26,68.45,multiply,BTC
2021-06-03 05:14:00,68.45,68.41,68.45,319.04,21824.94,68.41,multiply,BTC
2021-06-03 05:15:00,68.49,68.45,68.41,267.71,18324.98,68.45,multiply,BTC
2021-06-03 05:16:00,68.51,68.47,68.45,1017.26,69651.39,68.47,multiply,BTC
2021-06-03 05:17:00,68.49,68.37,68.47,1173.12,80297.44,68.45,multiply,BTC
2021-06-03 05:18:00,68.42,68.38,68.45,719.8,49250.04,68.42,multiply,BTC
2021-06-03 05:19:00,68.4,68.36,68.42,1492.24,102068.42,68.4,multiply,BTC
2021-06-03 05:20:00,68.32,68.24,68.4,471.14,32150.42,68.24,multiply,BTC
2021-06-03 05:21:00,68.36,68.28,68.24,1647.12,112526.08,68.32,multiply,BTC
2021-06-03 05:22:00,68.38,68.34,68.32,1374.1,93910.0,68.34,multiply,BTC
2021-06-03 05:23:00,68.42,68.34,68.34,1156.93,79111.25,68.38,multiply,BTC
2021-06-03 05:24:00,68.38,68.35,68.38,330.28,22573.26,68.35,multiply,BTC
2021-06-03 05:25:00,68.3,68.3,68.35,216.73,14802.25,68.3,multiply,BTC
2021-06-03 05:26:00,68.36,68.32,68.3,236.61,16165.86,68.32,multiply,BTC
2021-06-03 05:27:00,68.28,68.28,68.32,607.23,41462.8,68.28,multiply,BTC
2021-06-03 05:28:00,68.29,68.25,68.28,303.61,20722.18,68.25,multiply,BTC
2021-06-03 05:29:00,68.27,68.23,68.25,1003.87,68530.52,68.27,multiply,BTC
2021-06-03 05:30:00,68.22,68.1,68.27,2209.76,150485.97,68.1,multiply,BTC
2021-06-03 05:31:00,68.22,68.14,68.1,2271.55,154789.13,68.14,multiply,BTC
2021-06-03 05:32:00,68.21,68.14,68.14,902.46,61524.08,68.17,multiply,BTC
2021-06-03 05:33:00,68.16,68.12,68.17,1911.11,130181.8,68.12,multiply,BTC
2021-06-03 05:34:00,68.13,68.06,68.12,1495.16,101811.88,68.09,multiply,BTC
2021-06-03 05:35:00,68.15,68.11,68.09,549.16,37403.67,68.11,multiply,BTC
2021-06-03 05:36:00,68.43,68.35,68.11,551.35,37686.79,68.35,multiply,BTC
2021-06-03 05:37:00,68.36,68.2,68.35,1850.34,126338.69,68.28,multiply,BTC
2021-06-03 05:38:00,68.54,68.38,68.28,947.99,64828.22,68.38,multiply,BTC
2021-06-03 05:39:00,68.43,68.32,68.38,706.47,48347.17,68.43,multiply,BTC
2021-06-03 05:40:00,69.15,69.1,69.07,710.23,49093.31,69.12,multiply,ETH
2021-06-03 05:41:00,68.66,68.5,68.49,3439.95,236170.09,68.66,multiply,BTC
2021-06-03 05:42:00,68.67,68.64,68.66,774.17,53135.32,68.64,multiply,BTC
2021-06-03 05:43:00,68.65,68.57,68.64,313.06,21479.37,68.61,multiply,BTC
2021-06-03 05:44:00,68.73,68.69,68.61,419.55,28818.21,68.69,multiply,BTC
2021-06-03 05:45:00,68.85,68.77,68.69,898.78,61811.24,68.77,multiply,BTC
2021-06-03 05:46:00,68.79,68.72,68.77,323.11,22215.06,68.75,multiply,BTC
2021-06-03 05:47:00,68.93,68.77,68.75,1458.19,100456.45,68.89,multiply,BTC
2021-06-03 05:48:00,68.91,68.83,68.89,2443.7,168205.45,68.83,multiply,BTC
2021-06-03 05:49:00,68.77,68.66,68.83,799.75,55002.48,68.77,multiply,BTC
2021-06-03 05:50:00,68.81,68.73,68.77,209.28,14392.95,68.77,multiply,BTC
2021-06-03 05:51:00,69.52,69.44,69.45,107.23,7450.79,69.52,direct,
2021-06-03 05:52:00,69.52,69.45,69.52,103.75,7211.47,69.49,direct,
2021-06-03 05:53:00,68.78,68.71,68.8,229.18,15764.04,68.78,multiply,BTC
2021-06-03 05:54:00,69.52,69.43,69.47,930.04,64675.69,69.49,direct,
2021-06-03 05:55:00,68.94,68.78,68.77,1807.26,124519.13,68.9,multiply,BTC
2021-06-03 05:56:00,69.44,69.39,69.44,104.34,7240.62,69.39,direct,
2021-06-03 05:57:00,68.91,68.83,68.93,552.88,38057.39,68.83,multiply,BTC
2021-06-03 05:58:00,68.87,68.71,68.83,236.75,16268.18,68.71,multiply,BTC
2021-06-03 05:59:00,68.7,68.66,68.71,293.86,20188.68,68.7,multiply,BTC
2021-06-03 06:00:00,68.87,68.83,68.7,1223.08,84181.92,68.83,multiply,BTC
2021-06-03 06:01:00,69.44,69.39,69.49,1090.89,75724.09,69.41,multiply,ETH
2021-06-03 06:02:00,69.44,69.35,69.42,1051.58,72812.62,69.36,direct,
2021-06-03 06:03:00,68.69,68.58,68.75,449.14,30818.33,68.62,multiply,BTC
2021-06-03 06:04:00,68.56,68.41,68.62,1553.22,106314.95,68.45,multiply,BTC
2021-06-03 06:05:00,68.54,68.5,68.45,338.25,23184.0,68.54,multiply,BTC
2021-06-03 06:06:00,68.64,68.56,68.54,586.89,40236.9,68.56,multiply,BTC
2021-06-03 06:07:00,68.55,68.52,68.56,268.13,18371.05,68.52,multiply,BTC
2021-06-03 06:08:00,68.62,68.54,68.52,262.93,18021.7,68.54,multiply,BTC
2021-06-03 06:09:00,68.63,68.55,68.54,1101.51,75553.44,68.59,multiply,BTC
2021-06-03 06:10:00,68.62,68.58,68.59,168.32,11543.63,68.58,multiply,BTC
2021-06-03 06:11:00,68.53,68.41,68.58,1427.29,97695.76,68.45,multiply,BTC
2021-06-03 06:12:00,68.49,68.45,68.45,362.18,24790.41,68.45,multiply,BTC
2021-06-03 06:13:00,68.52,68.44,68.45,186.41,12772.02,68.52,multiply,BTC
2021-06-03 06:14:00,68.5,68.46,68.52,376.81,25811.27,68.5,multiply,BTC
2021-06-03 06:15:00,68.45,68.33,68.5,513.19,35127.08,68.45,multiply,BTC
2021-06-03 06:16:00,68.49,68.42,68.45,107.87,7384.26,68.46,multiply,BTC
2021-06-03 06:17:00,68.42,68.38,68.46,930.75,63643.32,68.38,multiply,BTC
2021-06-03 06:18:00,68.44,68.33,68.38,275.19,18803.08,68.33,multiply,BTC
2021-06-03 06:19:00,68.4,68.36,68.33,114.27,7815.99,68.4,multiply,BTC
2021-06-03 06:20:00,69.14,69.11,69.01,138.79,9591.75,69.11,multiply,ETH
2021-06-03 06:21:00,69.01,69.0,69.0,34.45,2379.16,69.0,direct,
2021-06-03 06:22:00,68.59,68.51,68.6,128.86,8828.81,68.51,multiply,BTC
2021-06-03 06:23:00,68.54,68.5,68.51,533.52,36567.71,68.54,multiply,BTC
2021-06-03 06:24:00,69.22,69.08,69.03,149.16,10308.61,69.11,multiply,ETH
2021-06-03 06:25:00,68.99,68.97,68.97,80.74,5573.65,68.99,direct,
2021-06-03 06:26:00,69.0,68.95,68.99,96.24,6640.2,68.95,direct,
2021-06-03 06:27:00,68.42,68.38,68.4,150.24,10272.96,68.38,multiply,BTC
2021-06-03 06:28:00,69.03,69.0,68.96,62.58,4320.01,69.03,multiply,ETH
2021-06-03 06:29:00,68.55,68.39,68.37,208.22,14273.48,68.55,multiply,BTC
2021-06-03 06:30:00,68.56,68.4,68.55,71.13,4871.1,68.48,multiply,BTC
2021-06-03 06:31:00,68.45,68.41,68.48,121.83,8334.04,68.41,multiply,BTC
2021-06-03 06:32:00,68.42,68.34,68.41,453.6,31017.91,68.38,multiply,BTC
2021-06-03 06:33:00,68.46,68.43,68.38,204.21,13981.19,68.46,multiply,BTC
2021-06-03 06:34:00,68.56,68.52,68.46,294.19,20158.16,68.52,multiply,BTC
2021-06-03 06:35:00,68.74,68.58,68.52,174.29,11973.92,68.7,multiply,BTC
2021-06-03 06:36:00,68.69,68.57,68.7,584.0,40068.19,68.61,multiply,BTC
2021-06-03 06:37:00,68.65,68.49,68.61,159.65,10947.55,68.57,multiply,BTC
2021-06-03 06:38:00,68.69,68.61,68.57,175.65,12064.93,68.69,multiply,BTC
2021-06-03 06:39:00,68.73,68.69,68.69,1071.66,73657.0,68.73,multiply,BTC
2021-06-03 06:40:00,68.85,68.81,68.73,293.18,20184.13,68.85,multiply,BTC
2021-06-03 06:41:00,69.0,68.84,68.85,335.24,23079.33,68.84,multiply,BTC
2021-06-03 06:42:00,68.93,68.86,68.84,136.99,9432.59,68.86,multiply,BTC
2021-06-03 06:43:00,68.82,68.78,68.86,320.28,22040.39,68.82,multiply,BTC
2021-06-03 06:44:00,68.95,68.83,68.82,214.61,14797.25,68.95,multiply,BTC
2021-06-03 06:45:00,68.89,68.77,68.95,238.57,16434.72,68.89,multiply,BTC
2021-06-03 06:46:00,68.91,68.83,68.89,99.66,6863.45,68.87,multiply,BTC
2021-06-03 06:47:00,68.88,68.84,68.87,788.77,54328.18,68.88,multiply,BTC
2021-06-03 06:48:00,68.93,68.85,68.88,294.38,20280.92,68.89,multiply,BTC
2021-06-03 06:49:00,69.47,69.36,69.44,185.54,12873.8,69.39,multiply,ETH
2021-06-03 06:50:00,69.47,69.44,69.46,256.91,17808.0,69.44,direct,
2021-06-03 06:51:00,69.58,69.46,69.35,613.31,42654.27,69.55,multiply,ETH
2021-06-03 06:52:00,68.98,68.94,68.89,224.94,15516.85,68.98,multiply,BTC
2021-06-03 06:53:00,69.0,68.92,68.98,69.15,4768.41,68.96,multiply,BTC
2021-06-03 06:54:00,69.09,68.9,68.96,1763.46,121846.02,69.09,multiply,BTC
2021-06-03 06:55:00,69.82,69.49,69.49,664.49,46394.21,69.82,direct,
2021-06-03 06:56:00,70.02,69.77,69.82,664.67,46536.74,70.02,direct,
2021-06-03 06:57:00,70.03,69.86,70.02,1597.38,111573.44,69.95,direct,
2021-06-03 06:58:00,70.07,69.95,69.95,938.73,65745.18,70.05,direct,
2021-06-03 06:59:00,69.61,69.45,69.56,2687.89,186779.54,69.49,multiply,BTC
2021-06-03 07:00:00,69.71,69.4,69.49,2206.53,153737.37,69.67,multiply,BTC
2021-06-03 07:01:00,69.74,69.58,69.67,1706.0,118909.83,69.7,multiply,BTC
2021-06-03 07:02:00,69.83,69.59,69.7,1140.08,79475.3,69.71,multiply,BTC
2021-06-03 07:03:00,69.67,69.36,69.71,1977.64,137175.55,69.36,multiply,BTC
2021-06-03 07:04:00,69.47,69.35,69.36,679.77,47221.42,69.47,multiply,BTC
2021-06-03 07:05:00,69.42,69.34,69.47,663.88,46036.35,69.34,multiply,BTC
2021-06-03 07:06:00,70.01,69.92,70.05,879.85,61522.75,69.92,multiply,ETH
2021-06-03 07:07:00,69.37,69.29,69.29,354.2,24555.83,69.33,multiply,BTC
2021-06-03 07:08:00,69.34,69.27,69.33,302.07,20922.97,69.27,multiply,BTC
2021-06-03 07:09:00,69.89,69.84,69.89,69.41,4841.96,69.89,direct,
2021-06-03 07:10:00,69.34,69.26,69.33,139.33,9661.28,69.34,multiply,BTC
2021-06-03 07:11:00,69.18,69.1,69.34,664.35,45931.66,69.14,multiply,BTC
2021-06-03 07:12:00,69.1,69.02,69.14,607.73,41947.35,69.02,multiply,BTC
2021-06-03 07:13:00,69.13,69.05,69.02,599.66,41454.71,69.13,multiply,BTC
2021-06-03 07:14:00,69.13,69.02,69.13,517.07,35726.33,69.09,multiply,BTC
2021-06-03 07:15:00,69.18,69.14,69.09,163.11,11284.46,69.18,multiply,BTC
2021-06-03 07:16:00,69.32,69.17,69.18,193.27,13375.8,69.21,multiply,BTC
2021-06-03 07:17:00,69.24,69.16,69.21,121.74,8419.82,69.16,multiply,BTC
2021-06-03 07:18:00,69.18,69.15,69.16,1386.3,95856.02,69.15,multiply,BTC
2021-06-03 07:19:00,69.11,69.07,69.15,645.23,44592.94,69.11,multiply,BTC
2021-06-03 07:20:00,69.02,68.94,69.11,276.2,19041.2,68.94,multiply,BTC
2021-06-03 07:21:00,69.0,68.81,68.94,786.36,54136.38,68.84,multiply,BTC
2021-06-03 07:22:00,69.39,69.31,69.39,211.69,14659.62,69.31,direct,
2021-06-03 07:23:00,68.81,68.77,68.79,402.96,27710.81,68.77,multiply,BTC
2021-06-03 07:24:00,69.33,69.29,69.3,114.32,7931.82,69.33,direct,
2021-06-03 07:25:00,68.84,68.8,68.73,392.88,27046.87,68.84,multiply,BTC
2021-06-03 07:26:00,68.9,68.86,68.84,151.44,10428.59,68.86,multiply,BTC
2021-06-03 07:27:00,68.94,68.86,68.86,654.42,45112.89,68.94,multiply,BTC
2021-06-03 07:28:00,68.89,68.82,68.94,251.83,17329.88,68.82,multiply,BTC
2021-06-03 07:29:00,68.84,68.84,68.82,214.87,14790.95,68.84,multiply,BTC
2021-06-03 07:30:00,69.02,68.9,68.84,190.6,13140.58,68.94,multiply,BTC
2021-06-03 07:31:00,68.99,68.95,68.94,95.8,6609.56,68.99,multiply,BTC
2021-06-03 07:32:00,68.98,68.94,68.99,266.4,18376.83,68.98,multiply,BTC
2021-06-03 07:33:00,69.04,69.0,68.98,171.55,11844.38,69.04,multiply,BTC
2021-06-03 07:34:00,69.04,69.0,69.04,395.31,27276.76,69.0,multiply,BTC
2021-06-03 07:35:00,69.05,69.01,69.0,237.63,16407.87,69.05,multiply,BTC
2021-06-03 07:36:00,69.62,69.53,69.54,41.61,2894.02,69.53,direct,
2021-06-03 07:37:00,69.53,69.53,69.53,226.76,15782.3,69.53,direct,
2021-06-03 07:38:00,68.97,68.93,68.94,244.21,16832.82,68.93,multiply,BTC
2021-06-03 07:39:00,68.98,68.94,68.93,122.62,8453.16,68.94,multiply,BTC
2021-06-03 07:40:00,69.5,69.46,69.49,95.56,6633.83,69.46,direct,
2021-06-03 07:41:00,69.01,68.97,68.99,140.67,9702.67,68.97,multiply,BTC
2021-06-03 07:42:00,69.48,69.47,69.47,39.16,2725.16,69.48,direct,
2021-06-03 07:43:00,69.48,69.47,69.48,66.64,4636.65,69.47,direct,
2021-06-03 07:44:00,68.95,68.91,68.9,697.04,48062.59,68.95,multiply,BTC
2021-06-03 07:45:00,69.04,68.96,68.95,138.89,9583.54,69.0,multiply,BTC
2021-06-03 07:46:00,68.97,68.93,69.0,238.04,16416.86,68.97,multiply,BTC
2021-06-03 07:47:00,68.97,68.97,68.97,146.54,10107.51,68.97,multiply,BTC
2021-06-03 07:48:00,68.89,68.81,68.97,406.28,27972.85,68.85,multiply,BTC
2021-06-03 07:49:00,68.88,68.84,68.85,482.99,33250.36,68.84,multiply,BTC
2021-06-03 07:50:00,68.86,68.86,68.84,1244.64,85711.87,68.86,multiply,BTC
2021-06-03 07:51:00,68.9,68.82,68.86,439.55,30249.16,68.82,multiply,BTC
2021-06-03 07:52:00,68.87,68.79,68.82,857.74,59008.09,68.79,multiply,BTC
2021-06-03 07:53:00,68.84,68.77,68.79,396.62,27273.62,68.77,multiply,BTC
2021-06-03 07:54:00,68.74,68.66,68.77,279.12,19176.24,68.7,multiply,BTC
2021-06-03 07:55:00,68.73,68.66,68.7,645.67,44329.68,68.66,multiply,BTC
2021-06-03 07:56:00,68.68,68.64,68.66,562.53,38636.52,68.68,multiply,BTC
2021-06-03 07:57:00,68.72,68.65,68.68,182.33,12523.57,68.69,multiply,BTC
2021-06-03 07:58:00,68.74,68.7,68.69,418.93,28797.34,68.74,multiply,BTC
2021-06-03 07:59:00,68.74,68.71,68.74,233.16,16019.31,68.71,multiply,BTC
2021-06-03 08:00:00,68.74,68.67,68.71,192.99,13259.47,68.71,multiply,BTC
2021-06-03 08:01:00,68.63,68.63,68.71,75.28,5166.11,68.63,multiply,BTC
2021-06-03 08:02:00,68.81,68.77,68.63,43.9,3020.84,68.81,multiply,BTC
2021-06-03 08:03:00,68.82,68.79,68.81,58.46,4023.48,68.82,multiply,BTC
2021-06-03 08:04:00,68.84,68.8,68.82,96.02,6610.15,68.84,multiply,BTC
2021-06-03 08:05:00,68.88,68.84,68.84,623.58,42928.21,68.84,multiply,BTC
2021-06-03 08:06:00,69.05,68.98,68.84,457.34,31563.18,69.01,multiply,BTC
2021-06-03 08:07:00,69.02,68.98,69.01,142.55,9838.47,69.02,multiply,BTC
2021-06-03 08:08:00,69.0,68.96,69.02,203.76,14059.61,69.0,multiply,BTC
2021-06-03 08:09:00,69.04,68.97,69.0,561.65,38757.09,69.01,multiply,BTC
2021-06-03 08:10:00,69.12,69.05,69.01,890.49,61553.94,69.12,multiply,BTC
2021-06-03 08:11:00,69.22,69.06,69.12,2151.35,148913.79,69.22,multiply,BTC
2021-06-03 08:12:00,69.19,69.07,69.22,795.38,54939.79,69.07,multiply,BTC
2021-06-03 08:13:00,69.11,69.07,69.07,536.02,37045.51,69.11,multiply,BTC
2021-06-03 08:14:00,69.19,69.12,69.11,157.28,10870.65,69.12,multiply,BTC
2021-06-03 08:15:00,69.37,69.25,69.12,477.52,33125.63,69.37,multiply,BTC
2021-06-03 08:16:00,69.89,69.83,69.83,60.26,4212.41,69.89,direct,
2021-06-03 08:17:00,69.36,69.25,69.3,781.67,54219.6,69.36,multiply,BTC
2021-06-03 08:18:00,69.42,69.34,69.36,663.58,46067.05,69.42,multiply,BTC
2021-06-03 08:19:00,69.46,69.43,69.42,148.85,10334.08,69.43,multiply,BTC
2021-06-03 08:20:00,69.45,69.42,69.43,723.75,50239.91,69.42,multiply,BTC
2021-06-03 08:21:00,70.03,69.96,69.96,68.46,4789.58,70.03,direct,
2021-06-03 08:22:00,70.03,69.97,70.05,55.11,3856.24,69.97,multiply,ETH
2021-06-03 08:23:00,69.49,69.41,69.44,288.74,20052.47,69.45,multiply,BTC
2021-06-03 08:24:00,69.57,69.53,69.45,88.48,6155.68,69.57,multiply,BTC
2021-06-03 08:25:00,69.55,69.51,69.57,161.1,11198.59,69.51,multiply,BTC
2021-06-03 08:26:00,69.49,69.37,69.51,261.04,18108.37,69.37,multiply,BTC
2021-06-03 08:27:00,69.36,69.32,69.37,179.8,12470.91,69.36,multiply,BTC
2021-06-03 08:28:00,69.35,69.31,69.36,1286.59,89170.65,69.31,multiply,BTC
2021-06-03 08:29:00,69.91,69.84,69.91,185.59,12962.79,69.85,direct,
2021-06-03 08:30:00,69.42,69.34,69.35,504.53,34984.68,69.34,multiply,BTC
2021-06-03 08:31:00,69.25,69.18,69.34,441.9,30585.72,69.21,multiply,BTC
2021-06-03 08:32:00,69.85,69.78,69.85,308.98,21549.13,69.78,direct,
2021-06-03 08:33:00,69.29,69.14,69.2,382.13,26478.95,69.29,multiply,BTC
2021-06-03 08:34:00,69.37,69.25,69.29,309.18,21411.02,69.25,multiply,BTC
