time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-06-03 05:01:00,2777.45,2772.33,2772.33,825.63,2292133.59,2777.12,direct,
2021-06-03 05:02:00,2780.99,2777.12,2777.12,1650.5,4588190.82,2778.62,direct,
2021-06-03 05:03:00,2781.16,2778.19,2778.62,301.41,837795.27,2780.32,direct,
2021-06-03 05:04:00,2783.24,2778.62,2780.32,934.03,2597750.33,2782.46,direct,
2021-06-03 05:05:00,2782.46,2780.23,2782.46,218.39,607477.79,2780.69,direct,
2021-06-03 05:06:00,2780.71,2777.22,2780.69,417.81,1160837.4,2779.31,direct,
2021-06-03 05:07:00,2789.15,2779.23,2779.31,1771.98,4935789.29,2787.68,direct,
2021-06-03 05:08:00,2787.78,2784.23,2787.68,327.93,913746.0,2787.55,direct,
2021-06-03 05:09:00,2794.52,2787.55,2787.55,1914.11,5343527.02,2791.08,direct,
2021-06-03 05:10:00,2797.38,2791.08,2791.08,1490.03,4165195.87,2796.84,direct,
2021-06-03 05:11:00,2796.88,2792.03,2796.84,1074.02,2999665.6,2792.03,direct,
2021-06-03 05:12:00,2794.99,2786.58,2792.03,926.22,2583619.76,2787.42,direct,
2021-06-03 05:13:00,2792.62,2787.32,2787.42,645.6,1801239.26,2788.63,direct,
2021-06-03 05:14:00,2789.38,2786.09,2788.63,703.97,1961689.11,2787.44,direct,
2021-06-03 05:15:00,2791.3,2786.86,2787.44,367.2,1024736.48,2790.68,direct,
2021-06-03 05:16:00,2795.17,2790.37,2790.68,610.3,1704892.84,2794.91,direct,
2021-06-03 05:17:00,2794.91,2789.78,2794.91,752.73,2100632.87,2790.01,direct,
2021-06-03 05:18:00,2790.01,2786.37,2790.01,569.92,1588374.21,2786.37,direct,
2021-06-03 05:19:00,2786.99,2781.92,2786.37,689.5,1920262.18,2784.58,direct,
2021-06-03 05:20:00,2784.75,2779.37,2784.58,733.63,2039150.47,2781.92,direct,
2021-06-03 05:21:00,2786.35,2781.8,2781.92,263.29,733059.91,2784.12,direct,
2021-06-03 05:22:00,2785.08,2783.19,2784.12,362.31,1008104.15,2784.43,direct,
2021-06-03 05:23:00,2785.37,2783.66,2784.43,229.93,640321.87,2784.65,direct,
2021-06-03 05:24:00,2787.22,2784.61,2784.65,581.53,1620627.91,2787.1,direct,
2021-06-03 05:25:00,2787.73,2783.06,2787.1,1499.82,4180265.35,2783.94,direct,
2021-06-03 05:26:00,2786.56,2785.41,2784.79,996.76,2777529.96,2786.56,multiply,BTC
2021-06-03 05:27:00,2787.08,2782.76,2787.0,253.38,705449.99,2782.76,direct,
2021-06-03 05:28:00,2783.61,2781.01,2782.76,181.69,505527.71,2783.55,direct,
2021-06-03 05:29:00,2784.58,2780.66,2783.55,261.44,727554.78,2780.87,direct,
2021-06-03 05:30:00,2780.9,2774.03,2780.87,681.89,1892671.41,2774.18,direct,
2021-06-03 05:31:00,2780.32,2774.18,2774.18,398.13,1106047.7,2778.57,direct,
2021-06-03 05:32:00,2779.71,2776.28,2778.57,196.83,546919.59,2779.62,direct,
2021-06-03 05:33:00,2780.09,2776.56,2779.62,340.0,944723.43,2776.77,direct,
2021-06-03 05:34:00,2777.58,2775.32,2776.77,226.73,629487.43,2776.65,direct,
2021-06-03 05:35:00,2778.36,2775.7,2776.65,242.87,674534.04,2778.36,direct,
2021-06-03 05:36:00,2789.95,2787.26,2778.47,1863.88,5195833.58,2787.64,multiply,BTC
2021-06-03 05:37:00,2793.81,2786.51,2787.07,1154.46,3221876.79,2791.97,direct,
2021-06-03 05:38:00,2799.18,2791.33,2791.97,1225.17,3427208.01,2797.82,direct,
2021-06-03 05:39:00,2798.89,2794.9,2797.82,568.02,1589036.53,2798.79,direct,
2021-06-03 05:40:00,2799.64,2798.02,2798.79,794.6,2224457.89,2799.64,direct,
2021-06-03 05:41:00,2808.11,2799.62,2799.64,2847.4,7983802.76,2805.02,direct,
2021-06-03 05:42:00,2812.45,2805.02,2805.02,1861.77,5231461.0,2808.78,direct,
2021-06-03 05:43:00,2809.0,2805.62,2808.78,541.23,1519124.81,2806.59,direct,
