time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-06-03 05:02:00,0.7907,0.7893,0.7898,4194.76,3313.7,0.7899,direct,
2021-06-03 05:03:00,0.791,0.7894,0.7899,8339.97,6590.71,0.791,direct,
2021-06-03 05:04:00,0.791,0.7897,0.791,5131.71,4056.02,0.7902,direct,
2021-06-03 05:05:00,0.7902,0.7896,0.7902,1494.12,1180.07,0.7898,direct,
2021-06-03 05:06:00,0.7912,0.7893,0.7898,1879.28,1484.43,0.7912,direct,
2021-06-03 05:07:00,0.7912,0.7895,0.7912,16243.23,12832.24,0.7899,direct,
2021-06-03 05:08:00,0.7899,0.789,0.7899,692.67,546.67,0.789,direct,
2021-06-03 05:09:00,0.7901,0.789,0.789,13697.45,10819.96,0.7893,direct,
2021-06-03 05:10:00,0.7912,0.7893,0.7893,71571.7,56530.23,0.7911,direct,
2021-06-03 05:11:00,0.7919,0.7907,0.7911,10601.05,8390.18,0.7912,direct,
2021-06-03 05:12:00,0.7936,0.7912,0.7912,16150.38,12805.08,0.792,direct,
2021-06-03 05:13:00,0.7929,0.792,0.792,4942.13,3916.5,0.7923,direct,
2021-06-03 05:14:00,0.7965,0.7923,0.7923,105291.25,83675.48,0.7948,direct,
2021-06-03 05:15:00,0.7954,0.7943,0.7948,13277.23,10555.63,0.7949,direct,
2021-06-03 05:16:00,0.7949,0.7926,0.7949,7574.06,6009.32,0.7928,direct,
2021-06-03 05:17:00,0.7986,0.7919,0.7928,65975.51,52512.71,0.7971,direct,
2021-06-03 05:18:00,0.803,0.7941,0.7971,347540.47,277929.03,0.803,direct,
2021-06-03 05:19:00,0.8129,0.8022,0.803,379001.44,305830.32,0.812,direct,
2021-06-03 05:20:00,0.8183,0.8081,0.812,251545.75,204431.64,0.8102,direct,
2021-06-03 05:21:00,0.8138,0.8088,0.8102,115307.0,93511.79,0.8088,direct,
2021-06-03 05:22:00,0.809,0.8081,0.8088,17817.02,14390.84,0.8084,direct,
2021-06-03 05:23:00,0.8084,0.8046,0.8084,44682.3,36005.67,0.8069,direct,
2021-06-03 05:24:00,0.8104,0.8069,0.8069,62718.52,50802.48,0.8095,direct,
2021-06-03 05:25:00,0.8147,0.8095,0.8095,36108.6,29326.05,0.8107,direct,
2021-06-03 05:26:00,0.8147,0.8107,0.8107,16947.68,13774.21,0.8141,direct,
2021-06-03 05:27:00,0.8146,0.8119,0.8141,25997.11,21134.46,0.8131,direct,
2021-06-03 05:28:00,0.8191,0.8131,0.8131,26835.13,21933.91,0.8186,direct,
2021-06-03 05:29:00,0.8204,0.8144,0.8186,81070.74,66268.97,0.8147,direct,
2021-06-03 05:30:00,0.8155,0.813,0.8147,22440.83,18275.76,0.8136,direct,
2021-06-03 05:31:00,0.8136,0.8086,0.8136,155376.17,125807.75,0.8105,direct,
2021-06-03 05:32:00,0.8135,0.8105,0.8105,51968.06,42214.75,0.8133,direct,
2021-06-03 05:33:00,0.8143,0.8106,0.8133,129678.43,105370.12,0.8115,direct,
2021-06-03 05:34:00,0.8257,0.8115,0.8115,187784.08,153875.78,0.8246,direct,
2021-06-03 05:35:00,0.825,0.8192,0.8246,34247.47,28148.78,0.8201,direct,
2021-06-03 05:36:00,0.8204,0.8164,0.8201,24747.63,20243.32,0.8164,direct,
2021-06-03 05:37:00,0.8181,0.8162,0.8164,19041.84,15556.04,0.8181,direct,
2021-06-03 05:38:00,0.8209,0.8181,0.8181,50745.54,41597.55,0.8204,direct,
2021-06-03 05:39:00,0.8249,0.8204,0.8204,9926.62,8154.77,0.8249,direct,
2021-06-03 05:40:00,0.8252,0.8229,0.8249,25777.66,21234.06,0.8229,direct,
2021-06-03 05:41:00,0.8233,0.8214,0.8229,67832.32,55777.52,0.8218,direct,
2021-06-03 05:42:00,0.8229,0.8218,0.8218,22553.23,18543.25,0.822,direct,
2021-06-03 05:43:00,0.8221,0.8185,0.822,127020.12,104108.86,0.8197,direct,
2021-06-03 05:44:00,0.8197,0.8178,0.8197,25178.28,20603.39,0.8192,direct,
2021-06-03 05:45:00,0.8214,0.8186,0.8192,76266.24,62527.05,0.8207,direct,
2021-06-03 05:46:00,0.8241,0.8207,0.8207,79316.26,65250.9,0.8225,direct,
2021-06-03 05:47:00,0.8242,0.8217,0.8225,37792.11,31113.75,0.8239,direct,
