time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-06-03 05:21:00,78.79,78.78,78.78,0.06296,4.924,78.79,direct,
2021-06-03 05:22:00,78.69,78.55,78.68,0.9304,73.08,78.55,multiply,ETH
2021-06-03 05:23:00,78.79,78.79,78.79,0.0,0.0,78.79,direct,
2021-06-03 05:24:00,78.79,78.79,78.79,0.0125,0.9849,78.79,direct,
2021-06-03 05:25:00,78.72,78.72,78.77,0.171,13.46,78.72,multiply,BTC
2021-06-03 05:26:00,79.07,78.62,78.53,2.028,160.35,79.07,multiply,ETH
2021-06-03 05:27:00,78.79,78.79,78.79,0.0,0.0,78.79,direct,
2021-06-03 05:28:00,78.66,78.66,78.7,0.2882,22.67,78.66,multiply,BTC
2021-06-03 05:29:00,78.89,78.67,78.97,1.248,98.18,78.67,multiply,ETH
2021-06-03 05:30:00,78.79,78.76,78.79,0.1437,11.05,78.76,direct,
2021-06-03 05:31:00,78.77,78.76,78.76,0.3,23.64,78.77,direct,
2021-06-03 05:32:00,78.66,78.64,78.61,1.59,125.07,78.66,multiply,ETH
2021-06-03 05:33:00,78.77,78.77,78.77,0.0,0.0,78.77,direct,
2021-06-03 05:34:00,78.77,78.77,78.77,0.0,0.0,78.77,direct,
2021-06-03 05:35:00,78.63,78.63,78.58,2.1,165.12,78.63,multiply,ETH
2021-06-03 05:36:00,78.77,78.77,78.77,0.0,0.0,78.77,direct,
2021-06-03 05:37:00,78.78,78.77,78.77,5.928,467.15,78.78,direct,
2021-06-03 05:38:00,78.79,78.77,78.78,1.75,137.6,78.77,direct,
2021-06-03 05:39:00,78.77,78.77,78.77,0.0,0.0,78.77,direct,
2021-06-03 05:40:00,78.77,78.77,78.77,0.0,0.0,78.77,direct,
2021-06-03 05:41:00,79.16,79.05,79.01,1.387,109.64,79.05,multiply,ETH
2021-06-03 05:42:00,78.77,78.77,78.77,0.0,0.0,78.77,direct,
