time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-06-03 05:05:00,28.79,28.74,28.79,220.0,6569.15,28.75,direct,
2021-06-03 05:06:00,25.74,25.73,25.75,548.15,14105.89,25.73,multiply,ETH
2021-06-03 05:07:00,25.96,25.9,25.78,531.84,13791.47,25.93,multiply,BTC
2021-06-03 05:08:00,25.99,25.92,25.93,1080.74,28081.36,25.98,multiply,BTC
2021-06-03 05:09:00,26.03,25.98,25.98,560.08,14549.51,25.98,multiply,BTC
2021-06-03 05:10:00,26.05,26.0,25.98,687.94,17916.4,26.04,multiply,BTC
2021-06-03 05:11:00,28.91,28.88,28.88,112.52,2918.02,28.91,direct,
2021-06-03 05:12:00,26.01,25.95,25.99,437.55,11382.82,26.01,multiply,BTC
2021-06-03 05:13:00,26.04,25.98,26.01,358.75,9324.63,25.99,multiply,BTC
2021-06-03 05:14:00,26.02,25.97,25.99,260.35,6760.64,25.97,multiply,BTC
2021-06-03 05:15:00,26.0,25.92,25.97,516.86,13397.78,25.92,multiply,BTC
2021-06-03 05:16:00,28.89,28.81,28.89,180.38,4626.93,28.88,direct,
2021-06-03 05:17:00,25.86,25.81,25.9,204.25,5270.88,25.81,multiply,BTC
2021-06-03 05:18:00,25.81,25.78,25.81,205.01,5287.89,25.79,multiply,BTC
2021-06-03 05:19:00,25.79,25.63,25.8,113.22,2901.75,25.63,multiply,ETH
2021-06-03 05:20:00,25.62,25.58,25.63,135.97,3478.46,25.58,multiply,ETH
2021-06-03 05:21:00,28.96,28.83,28.9,169.37,5067.99,28.91,direct,
2021-06-03 05:22:00,25.82,25.74,25.81,93.71,2418.89,25.81,multiply,BTC
2021-06-03 05:23:00,25.83,25.72,25.81,74.83,1924.86,25.72,multiply,BTC
2021-06-03 05:24:00,25.77,25.69,25.72,108.27,2781.46,25.69,multiply,BTC
2021-06-03 05:25:00,25.73,25.67,25.69,87.66,2253.78,25.71,multiply,BTC
