time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-06-03 05:01:00,0.4212,0.421,0.4211,56199.13,23665.65,0.4211,direct,
2021-06-03 05:02:00,0.4215,0.421,0.4211,77625.89,32714.58,0.4214,direct,
2021-06-03 05:03:00,0.4214,0.4214,0.4214,92507.0,38978.08,0.4214,direct,
2021-06-03 05:04:00,0.4222,0.4213,0.4214,97840.4,41265.24,0.422,direct,
2021-06-03 05:05:00,0.4221,0.4218,0.422,50853.0,21462.65,0.422,direct,
2021-06-03 05:06:00,0.4225,0.422,0.422,98000.9,41383.83,0.4224,direct,
2021-06-03 05:07:00,0.4236,0.4224,0.4224,594062.61,251472.96,0.4232,direct,
2021-06-03 05:08:00,0.4232,0.4228,0.4232,325159.22,137723.02,0.4229,direct,
2021-06-03 05:09:00,0.4238,0.4229,0.4229,202521.02,85704.42,0.4236,direct,
2021-06-03 05:10:00,0.4238,0.4235,0.4236,112329.65,47599.46,0.4238,direct,
2021-06-03 05:11:00,0.4242,0.4235,0.4238,101876.2,43178.46,0.4236,direct,
2021-06-03 05:12:00,0.4238,0.4231,0.4236,119871.14,50761.31,0.4232,direct,
2021-06-03 05:13:00,0.4235,0.4228,0.4232,57476.09,24325.65,0.4231,direct,
2021-06-03 05:14:00,0.4235,0.4229,0.4231,74084.38,31349.37,0.4233,direct,
2021-06-03 05:15:00,0.4236,0.4232,0.4233,61550.04,26062.52,0.4235,direct,
2021-06-03 05:16:00,0.4236,0.4234,0.4235,60932.18,25809.88,0.4236,direct,
2021-06-03 05:17:00,0.4238,0.4234,0.4236,406065.74,172025.48,0.4238,direct,
2021-06-03 05:18:00,0.4238,0.4234,0.4238,64090.94,27141.08,0.4234,direct,
2021-06-03 05:19:00,0.4234,0.4226,0.4234,141955.39,59977.67,0.4228,direct,
2021-06-03 05:20:00,0.4228,0.4222,0.4228,60201.42,25421.09,0.4224,direct,
2021-06-03 05:21:00,0.4227,0.4222,0.4224,29849.99,12612.89,0.4227,direct,
2021-06-03 05:22:00,0.4227,0.4223,0.4227,76543.84,32335.48,0.4225,direct,
2021-06-03 05:23:00,0.4227,0.4224,0.4225,30691.7,12970.31,0.4226,direct,
2021-06-03 05:24:00,0.4227,0.4225,0.4226,79544.1,33615.07,0.4226,direct,
2021-06-03 05:25:00,0.4226,0.4224,0.4226,75592.63,31942.52,0.4224,direct,
2021-06-03 05:26:00,0.4227,0.4224,0.4224,75697.22,31983.0,0.4227,direct,
2021-06-03 05:27:00,0.4227,0.4223,0.4227,34615.27,14623.74,0.4224,direct,
2021-06-03 05:28:00,0.4225,0.4224,0.4224,5951.53,2513.44,0.4224,direct,
2021-06-03 05:29:00,0.4224,0.4218,0.4224,126608.99,53435.0,0.422,direct,
2021-06-03 05:30:00,0.422,0.4207,0.422,238978.83,100631.32,0.4208,direct,
2021-06-03 05:31:00,0.4219,0.4208,0.4208,154471.66,65134.39,0.4216,direct,
2021-06-03 05:32:00,0.422,0.4216,0.4216,21171.86,8932.81,0.4219,direct,
2021-06-03 05:33:00,0.4219,0.4215,0.4219,70720.5,29817.04,0.4215,direct,
2021-06-03 05:34:00,0.4216,0.4214,0.4215,32315.62,13621.09,0.4215,direct,
2021-06-03 05:35:00,0.4215,0.4212,0.4215,71126.4,29963.11,0.4214,direct,
2021-06-03 05:36:00,0.4223,0.4214,0.4214,299637.96,126343.05,0.4223,direct,
2021-06-03 05:37:00,0.4231,0.4223,0.4223,89387.81,37786.47,0.4228,direct,
2021-06-03 05:38:00,0.4235,0.4224,0.4228,140062.84,59244.37,0.4235,direct,
2021-06-03 05:39:00,0.4237,0.4232,0.4235,317960.67,134628.56,0.4236,direct,
2021-06-03 05:40:00,0.4236,0.4233,0.4236,61173.7,25910.88,0.4234,direct,
2021-06-03 05:41:00,0.4243,0.4234,0.4234,356295.34,151046.28,0.4242,direct,
2021-06-03 05:42:00,0.4245,0.424,0.4242,71044.35,30143.33,0.4244,direct,
2021-06-03 05:43:00,0.4244,0.4237,0.4244,29415.42,12466.69,0.4237,direct,
2021-06-03 05:44:00,0.4239,0.4237,0.4237,196051.98,83078.95,0.4239,direct,
2021-06-03 05:45:00,0.4243,0.4238,0.4239,325287.81,137920.91,0.4243,direct,
2021-06-03 05:46:00,0.4245,0.4243,0.4243,239269.93,101530.41,0.4245,direct,
2021-06-03 05:47:00,0.4245,0.4241,0.4245,516165.17,218935.27,0.4241,direct,
2021-06-03 05:48:00,0.4241,0.4238,0.4241,107413.97,45538.13,0.4238,direct,
2021-06-03 05:49:00,0.4238,0.4232,0.4238,44211.36,18726.85,0.4235,direct,
2021-06-03 05:50:00,0.4237,0.4234,0.4235,69141.18,29289.26,0.4235,direct,
2021-06-03 05:51:00,0.4239,0.4235,0.4235,63807.08,27040.6,0.4238,direct,
2021-06-03 05:52:00,0.4239,0.4238,0.4238,129915.69,55059.1,0.4239,direct,
2021-06-03 05:53:00,0.4242,0.4238,0.4239,300286.49,127287.04,0.4242,direct,
2021-06-03 05:54:00,0.4242,0.4239,0.4242,65156.15,27624.81,0.4239,direct,
2021-06-03 05:55:00,0.424,0.4239,0.4239,230327.07,97642.42,0.4239,direct,
2021-06-03 05:56:00,0.4242,0.4239,0.4239,570294.6,241747.42,0.4241,direct,
2021-06-03 05:57:00,0.4242,0.4239,0.4241,91838.35,38933.42,0.4239,direct,
2021-06-03 05:58:00,0.4239,0.4236,0.4239,73081.35,30962.76,0.4238,direct,
2021-06-03 05:59:00,0.4238,0.4236,0.4238,116515.63,49374.16,0.4238,direct,
2021-06-03 06:00:00,0.4245,0.4238,0.4238,417364.39,177008.53,0.4244,direct,
2021-06-03 06:01:00,0.4245,0.4238,0.4244,30670.73,13011.3,0.4239,direct,
2021-06-03 06:02:00,0.4239,0.4233,0.4239,131596.63,55785.07,0.4234,direct,
2021-06-03 06:03:00,0.4236,0.4233,0.4234,129275.19,54710.93,0.4234,direct,
2021-06-03 06:04:00,0.4234,0.4228,0.4234,86966.92,36773.13,0.4229,direct,
2021-06-03 06:05:00,0.4233,0.4229,0.4229,123019.41,52070.79,0.4233,direct,
2021-06-03 06:06:00,0.4234,0.4232,0.4233,147988.2,62669.93,0.4233,direct,
2021-06-03 06:07:00,0.4234,0.4233,0.4233,200875.0,85042.02,0.4234,direct,
2021-06-03 06:08:00,0.4238,0.4234,0.4234,112964.83,47842.92,0.4238,direct,
2021-06-03 06:09:00,0.4238,0.4236,0.4238,15878.26,6724.99,0.4236,direct,
2021-06-03 06:10:00,0.4238,0.4235,0.4236,55979.16,23709.14,0.4237,direct,
2021-06-03 06:11:00,0.4237,0.4228,0.4237,154196.3,65290.11,0.4231,direct,
2021-06-03 06:12:00,0.4236,0.423,0.4231,26085.08,11040.95,0.4236,direct,
2021-06-03 06:13:00,0.4236,0.4231,0.4236,34127.04,14448.42,0.4232,direct,
2021-06-03 06:14:00,0.4232,0.4231,0.4232,21260.72,8996.41,0.4231,direct,
2021-06-03 06:15:00,0.4231,0.4209,0.4231,158299.08,66767.43,0.4213,direct,
