time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-06-05 21:02:00,0.9307,0.9303,0.9307,56654.91,52704.31,0.9306,direct,
2021-06-05 21:03:00,0.9314,0.9305,0.9306,11823.85,11009.37,0.9311,direct,
2021-06-05 21:04:00,0.9311,0.9296,0.9311,37507.01,34873.76,0.9296,direct,
2021-06-05 21:05:00,0.9299,0.9291,0.9296,18421.2,17130.04,0.9294,direct,
2021-06-05 21:06:00,0.9294,0.9292,0.9294,1266.68,1179.34,0.9294,direct,
2021-06-05 21:07:00,0.9299,0.9292,0.9294,25327.04,23544.87,0.9298,direct,
2021-06-05 21:08:00,0.9302,0.9296,0.9298,3346.72,3112.5,0.9302,direct,
2021-06-05 21:09:00,0.9302,0.9294,0.9302,18388.06,17089.82,0.9294,direct,
2021-06-05 21:10:00,0.9303,0.928,0.9294,48615.0,45137.54,0.9303,direct,
2021-06-05 21:11:00,0.9309,0.93,0.9303,33104.84,30796.11,0.9308,direct,
2021-06-05 21:12:00,0.9308,0.9298,0.9308,15577.54,14489.0,0.9304,direct,
2021-06-05 21:13:00,0.9306,0.9304,0.9304,7723.57,7188.01,0.9306,direct,
2021-06-05 21:14:00,0.9306,0.9306,0.9306,423.0,393.78,0.9306,direct,
2021-06-05 21:15:00,0.9306,0.9288,0.9306,6129.12,5697.81,0.9292,direct,
2021-06-05 21:16:00,0.9302,0.9292,0.9292,3395.58,3160.28,0.9302,direct,
2021-06-05 21:17:00,0.931,0.9302,0.9302,4690.88,4365.73,0.9307,direct,
2021-06-05 21:18:00,0.9307,0.9304,0.9307,3050.0,2838.01,0.9305,direct,
2021-06-05 21:19:00,0.9305,0.9282,0.9305,44839.53,41646.67,0.9282,direct,
2021-06-05 21:20:00,0.9282,0.9273,0.9282,9192.72,8527.94,0.9273,direct,
2021-06-05 21:21:00,0.9281,0.9272,0.9273,12249.72,11378.22,0.9275,direct,
2021-06-05 21:22:00,0.9277,0.927,0.9275,14382.63,13335.47,0.9271,direct,
2021-06-05 21:23:00,0.9271,0.9198,0.9271,571468.21,526791.16,0.9198,direct,
2021-06-05 21:24:00,0.9199,0.9127,0.9198,528190.51,483523.54,0.9165,direct,
2021-06-05 21:25:00,0.9201,0.9165,0.9165,64289.66,59096.12,0.92,direct,
2021-06-05 21:26:00,0.9203,0.9194,0.92,110469.72,101640.35,0.9194,direct,
2021-06-05 21:27:00,0.9196,0.9167,0.9194,38995.07,35841.2,0.9168,direct,
2021-06-05 21:28:00,0.9175,0.9166,0.9168,76276.49,69924.94,0.9167,direct,
2021-06-05 21:29:00,0.9167,0.9038,0.9167,1488895.02,1347026.25,0.9084,direct,
2021-06-05 21:30:00,0.9127,0.908,0.9084,114407.21,104416.47,0.9127,direct,
2021-06-05 21:31:00,0.9137,0.909,0.9127,527115.66,478028.23,0.9098,direct,
2021-06-05 21:32:00,0.9114,0.9094,0.9098,41600.16,37865.02,0.9094,direct,
2021-06-05 21:33:00,0.9109,0.9064,0.9094,76907.67,69874.17,0.9064,direct,
2021-06-05 21:34:00,0.9064,0.896,0.9064,2506719.05,2255197.44,0.9003,direct,
2021-06-05 21:35:00,0.9039,0.9002,0.9003,143251.7,129246.7,0.9016,direct,
2021-06-05 21:36:00,0.9016,0.8969,0.9016,123540.08,111020.89,0.8971,direct,
2021-06-05 21:37:00,0.899,0.8968,0.8971,50295.86,45235.13,0.8987,direct,
2021-06-05 21:38:00,0.9032,0.8987,0.8987,116687.55,105379.85,0.9026,direct,
2021-06-05 21:39:00,0.9049,0.9026,0.9026,62954.05,56920.28,0.9044,direct,
2021-06-05 21:40:00,0.9074,0.9035,0.9044,51031.1,46222.97,0.9073,direct,
2021-06-05 21:41:00,0.9078,0.907,0.9073,158272.14,143703.32,0.9077,direct,
2021-06-05 21:42:00,0.9077,0.9048,0.9077,126671.59,114573.25,0.9053,direct,
2021-06-05 21:43:00,0.9064,0.9031,0.9053,25409.23,22964.82,0.9031,direct,
2021-06-05 21:44:00,0.9035,0.9001,0.9031,197920.68,178082.73,0.9001,direct,
2021-06-05 21:45:00,0.9012,0.8989,0.9001,422528.22,380066.05,0.9002,direct,
2021-06-05 21:46:00,0.9007,0.8995,0.9002,418610.97,376826.13,0.8995,direct,
2021-06-05 21:47:00,0.8998,0.8981,0.8995,102578.77,92290.12,0.8983,direct,
2021-06-05 21:48:00,0.9024,0.8983,0.8983,79713.93,71734.29,0.8996,direct,
2021-06-05 21:49:00,0.9003,0.8994,0.8996,54216.13,48760.19,0.8996,direct,
2021-06-05 21:50:00,0.9022,0.8996,0.8996,26586.78,23974.01,0.9016,direct,
2021-06-05 21:51:00,0.9036,0.9016,0.9016,169674.13,153264.12,0.9034,direct,
2021-06-05 21:52:00,0.9034,0.9017,0.9034,41280.08,37234.57,0.9023,direct,
2021-06-05 21:53:00,0.9023,0.9003,0.9023,92418.26,83239.46,0.9015,direct,
2021-06-05 21:54:00,0.9022,0.901,0.9015,35065.04,31651.57,0.9022,direct,
2021-06-05 21:55:00,0.9046,0.9022,0.9022,73988.85,66951.23,0.9046,direct,
2021-06-05 21:56:00,0.9071,0.9046,0.9046,93268.58,84577.57,0.9058,direct,
2021-06-05 21:57:00,0.9059,0.9047,0.9058,36665.18,33183.36,0.905,direct,
2021-06-05 21:58:00,0.9051,0.9041,0.905,10636.16,9615.01,0.9045,direct,
2021-06-05 21:59:00,0.9045,0.9028,0.9045,33577.12,30321.06,0.9032,direct,
2021-06-05 22:00:00,0.9037,0.9011,0.9032,35768.82,32278.95,0.9037,direct,
